Patient_ID,UBQLN2,UBXN10,UBXN2B,UBXN6,UCHL1,UCKL1,UEVLD,UFM1,UHRF1BP1L,ULBP3,UNC119B,UNC13D,UNC45A,UNC93B6,UPK3B,URB1,URB2,URM1,USHBP1,USP13,USP25,USP30,USP32P1,USP33,USP38,USP47,USP54,UTP14C,VASN,VBP1,VDAC1,VDR,VGLL4,VMAC,VMO1,VSIR,VSNL1,WASF3,WASH2P,WDR45B,WDR70,WDR82,WIPI1,WNT2,WNT3,WNT5A,WNT7A,XAB2,XK,XKR9,XPA,XYLT2,ZDHHC9,ZER1,ZFP36L2,ZFP91,ZFPM2-AS1,ZFYVE19,ZFYVE9,ZG16B,ZGPAT,ZKSCAN1,ZMIZ1,ZMYM1,ZMYM2,ZMYND10,ZMYND11,ZMYND12,ZNF114,ZNF124,ZNF134,ZNF140,ZNF148,ZNF155,ZNF185,ZNF189,ZNF239,ZNF252P,ZNF274,ZNF275,ZNF28,ZNF284,ZNF30,ZNF324B,ZNF337-AS1,ZNF354A,ZNF419,ZNF431,ZNF436,ZNF438,ZNF462,ZNF468,ZNF480,ZNF484,ZNF496,ZNF501,ZNF502,ZNF517,ZNF519,ZNF528-AS1
DO32829,11.25,1.82,6.46,26.78,4.63,8.24,16.66,21.4,7.89,3.64,3.65,11.88,18.44,0.0,0.19,2.46,3.19,9.66,0.23,2.89,8.66,2.65,1.83,22.92,11.07,23.75,5.42,4.84,3.36,22.1,215.35,8.39,17.57,1.38,0.71,11.8,0.71,0.63,2.82,38.35,7.39,16.58,18.34,4.39,0.34,10.87,0.79,9.56,2.99,2.38,3.77,6.9,15.92,6.23,42.66,19.72,6.0,6.58,7.65,49.51,7.42,27.16,11.23,5.44,14.04,0.18,12.59,1.76,0.1,17.87,7.82,4.61,18.07,1.77,5.12,7.94,2.41,7.5,3.75,3.01,24.23,0.8,1.16,1.76,0.86,3.77,4.08,4.62,5.62,2.82,4.41,13.36,5.77,3.5,4.34,1.37,1.33,0.59,1.24,0.95
DO32860,14.06,8.02,13.03,26.62,9.03,8.27,11.12,67.81,11.28,0.39,6.23,5.84,10.58,0.0,1.29,4.78,2.81,8.71,0.27,2.37,17.43,4.55,16.7,32.85,11.47,27.26,32.94,14.45,2.48,17.02,187.12,12.27,30.11,1.7,0.97,12.67,2.16,1.23,5.62,27.2,9.9,26.72,13.04,8.59,0.2,11.08,0.62,8.11,2.15,5.82,5.98,5.49,15.83,5.09,56.67,19.39,3.87,4.21,6.18,27.25,8.39,50.78,17.68,4.66,65.86,0.12,27.71,0.54,0.25,33.95,9.01,10.98,18.67,4.39,14.84,7.64,1.58,13.2,14.46,4.36,14.95,1.06,1.28,2.32,0.7,2.57,4.0,7.36,12.11,5.68,5.95,10.47,6.87,6.7,5.92,3.39,2.1,1.23,2.22,1.45
DO32863,11.84,0.78,10.28,25.05,7.3,7.95,15.38,34.91,7.77,1.8,3.47,12.62,12.38,0.0,0.2,2.83,2.22,11.7,0.15,1.52,14.98,3.78,1.34,18.54,8.29,19.28,12.79,7.45,5.06,21.83,107.49,7.84,34.8,1.43,8.49,9.82,4.39,1.37,2.67,25.05,9.56,22.94,17.24,14.63,0.39,10.82,2.17,7.32,2.75,2.38,3.62,7.91,15.57,5.87,48.17,20.56,1.81,6.25,4.57,7.8,7.1,20.54,5.49,4.09,35.85,0.48,17.51,0.42,0.91,30.54,11.84,5.87,17.68,2.79,7.61,6.96,2.03,8.13,4.4,3.77,17.13,1.28,1.52,2.26,0.86,2.54,4.58,4.66,8.05,3.06,4.57,10.6,4.24,4.56,5.2,2.0,1.64,0.82,1.86,0.31
DO32875,7.96,2.55,9.57,27.61,47.76,12.0,13.02,36.33,5.52,1.64,5.58,44.65,20.55,0.0,1.88,3.19,3.28,13.79,0.52,2.6,12.17,2.05,10.1,29.4,8.39,18.02,6.37,7.81,13.48,23.21,140.89,3.85,19.55,1.63,1.96,16.53,0.78,4.48,6.22,68.34,9.58,17.22,20.31,1.68,1.4,13.14,3.0,7.67,2.23,3.34,5.6,13.64,13.16,8.48,34.23,15.29,8.66,12.47,9.38,21.19,11.61,32.61,7.58,5.83,35.35,0.43,18.4,1.31,0.99,12.97,8.31,5.73,21.74,3.27,23.99,7.15,2.31,13.67,9.76,3.85,9.09,1.31,1.23,2.61,1.49,3.35,4.5,5.91,5.58,3.07,4.62,6.8,2.57,5.53,8.38,2.59,1.65,2.52,3.16,0.49
DO32878,13.17,0.86,6.59,24.77,2.99,6.31,8.67,20.84,7.14,1.57,6.23,26.14,13.77,0.03,20.51,2.49,2.9,10.94,0.18,1.68,7.32,4.35,0.55,15.22,6.48,14.41,11.68,5.14,1.83,15.0,98.69,6.42,16.38,0.74,0.89,32.47,0.85,0.54,2.53,31.3,5.02,17.33,11.28,0.77,0.22,5.67,4.45,12.7,0.68,6.0,3.32,5.84,11.07,6.58,30.61,11.33,6.33,5.13,3.13,28.01,5.28,18.59,7.06,2.68,25.77,0.08,11.27,0.33,1.96,12.21,6.03,8.29,14.78,2.35,21.3,4.68,1.3,9.6,11.15,1.72,12.57,0.77,1.19,1.78,0.66,2.43,3.04,4.96,3.04,1.89,3.68,8.16,3.52,5.43,2.4,1.83,0.67,1.19,1.21,0.3
DO32887,8.96,5.42,7.63,28.13,1.56,29.25,7.43,24.02,6.64,0.54,9.67,32.54,17.37,0.11,2.92,6.3,3.2,19.0,1.37,1.39,15.06,4.45,5.98,56.41,5.53,21.69,62.82,6.67,3.11,5.58,53.0,14.72,20.37,3.32,1.13,21.58,2.4,0.58,11.8,19.29,10.68,14.64,10.02,0.0,0.75,1.04,2.38,8.66,3.34,14.85,8.75,4.77,17.01,11.99,38.26,15.69,1.01,13.02,5.75,7.48,18.62,45.08,19.4,7.16,36.16,0.96,19.9,0.36,1.37,5.55,7.21,12.16,12.08,2.47,7.62,12.27,2.31,14.04,20.24,4.18,14.82,1.18,1.36,4.18,7.43,4.49,6.54,21.62,3.45,5.3,7.98,8.95,9.38,6.3,4.03,1.68,3.96,3.28,2.65,4.94
DO32900,7.81,1.09,8.88,18.65,9.44,6.71,13.85,29.92,9.27,0.95,9.08,6.85,11.94,0.0,6.66,3.72,2.23,14.23,0.64,1.97,15.27,5.78,2.06,27.2,10.66,25.28,15.86,8.56,5.38,23.62,122.87,9.44,20.8,1.43,0.56,13.81,0.73,1.68,3.64,20.2,13.36,21.97,13.68,1.38,0.21,8.52,2.35,7.34,2.97,7.03,5.56,5.09,8.74,9.15,50.2,14.85,5.48,7.36,7.12,1.26,4.49,33.62,8.86,4.7,33.72,0.78,15.17,0.61,0.83,14.05,9.78,9.01,19.42,13.36,9.86,14.31,1.53,13.24,11.49,3.06,16.15,4.97,1.86,2.91,1.31,3.01,4.74,10.04,8.28,3.74,7.15,12.28,6.98,7.47,4.33,2.94,2.9,1.37,3.96,1.15
DO32936,7.34,6.8,6.81,27.53,0.0,14.31,14.67,27.98,9.16,2.79,11.35,38.89,20.53,0.0,84.45,5.76,3.56,7.79,0.04,2.8,16.26,3.01,1.4,19.59,7.95,17.47,7.85,3.93,17.88,25.66,166.94,2.42,7.8,0.91,0.13,49.64,0.12,3.93,6.59,32.55,8.4,14.36,19.13,0.0,0.93,0.03,15.5,8.13,0.45,4.95,21.95,10.62,5.78,13.74,6.51,30.02,5.3,16.76,4.36,3.62,16.0,24.77,6.7,6.54,68.48,0.75,19.1,0.23,3.09,5.07,9.96,11.3,25.04,3.27,30.77,4.53,1.33,12.22,20.8,2.59,7.08,0.68,0.86,2.36,2.85,5.65,10.23,4.29,2.77,1.03,2.73,4.07,6.96,3.82,14.83,0.67,0.0,1.1,1.72,0.01
DO33091,2.74,0.01,4.88,16.17,4.33,7.29,6.68,16.53,6.24,1.66,3.4,0.16,8.43,0.0,0.06,4.72,2.87,16.03,0.06,1.87,5.76,1.8,2.0,6.43,2.47,5.65,11.84,1.32,0.58,30.84,103.96,2.44,6.16,0.71,0.03,0.14,0.0,0.97,1.7,24.58,6.1,14.85,2.47,0.01,0.25,0.08,0.0,8.74,0.07,0.42,6.11,5.11,5.38,2.31,0.97,16.93,2.36,3.56,2.02,0.0,7.26,5.75,0.51,2.85,6.07,0.53,9.92,0.06,1.28,2.31,5.77,3.34,6.28,1.42,0.29,2.69,2.75,5.83,6.72,0.76,6.72,0.65,0.72,1.92,0.67,2.94,2.92,3.51,1.7,0.38,1.88,2.45,7.35,1.61,3.43,0.58,0.95,0.62,1.01,0.6
DO33128,13.73,0.99,7.63,15.05,7.36,11.85,17.24,33.46,9.32,1.73,2.77,23.26,20.31,0.03,1.94,4.15,5.66,14.18,0.84,2.98,16.58,2.92,2.39,30.21,9.7,22.58,26.94,10.92,10.21,28.38,137.48,4.92,25.57,0.87,3.28,13.86,1.64,0.86,3.09,32.28,11.33,30.94,20.1,5.94,0.42,8.48,0.18,7.88,4.83,11.17,5.32,11.07,18.36,10.52,64.17,16.7,4.82,5.84,5.95,19.38,8.07,14.45,8.97,8.05,22.87,0.27,17.24,0.74,0.34,13.71,7.05,10.37,26.58,2.61,11.39,10.73,2.6,12.88,6.27,3.21,12.43,1.12,1.7,1.57,0.7,3.86,2.3,6.86,7.15,3.18,5.07,9.04,4.78,7.02,5.62,3.33,2.85,0.73,5.85,0.42
DO33168,11.54,1.08,8.17,19.08,18.91,22.95,11.6,28.96,9.6,0.82,10.43,11.76,20.14,0.02,8.82,8.54,3.8,11.08,2.44,3.13,12.51,3.27,9.86,80.35,9.41,21.23,23.36,6.94,6.43,20.02,51.6,9.16,32.52,4.57,1.17,13.1,8.05,1.84,15.97,23.19,18.96,25.28,23.67,2.73,0.61,38.83,0.57,9.0,0.59,6.72,5.41,6.96,5.84,9.63,26.95,18.56,12.3,7.99,6.75,3.1,15.98,34.41,11.62,5.64,28.3,0.51,17.9,0.55,3.18,14.08,8.03,8.87,18.81,2.39,3.55,9.16,1.51,8.15,9.46,5.95,9.25,0.95,1.43,2.58,2.4,3.95,4.76,37.87,7.66,2.38,7.97,5.77,4.42,7.13,14.44,2.22,1.78,3.67,7.81,3.31
DO33256,1.14,0.38,3.58,16.8,0.0,9.39,7.88,18.46,1.79,1.93,5.88,29.64,11.12,0.0,62.93,1.7,2.59,18.14,0.05,0.5,4.35,2.18,0.12,8.35,4.18,4.95,2.81,1.19,0.72,13.23,100.47,4.01,13.31,0.65,0.22,14.52,0.0,0.18,1.98,30.14,4.81,11.45,2.36,0.0,0.13,0.0,4.67,3.53,1.67,0.38,2.82,5.36,3.63,2.72,7.19,16.6,2.67,5.09,1.29,1.77,12.41,7.6,0.81,2.73,8.92,0.49,9.22,0.22,0.62,1.76,4.44,3.16,11.89,0.59,6.93,1.39,1.84,8.35,1.84,0.22,11.36,0.49,0.95,1.14,0.64,2.3,2.5,4.85,0.88,0.5,0.79,7.37,8.03,1.16,3.23,1.2,0.0,1.22,1.62,0.64
DO33336,10.14,4.93,7.65,20.48,7.42,10.95,12.52,31.58,6.29,0.95,5.05,16.48,15.63,0.0,43.29,3.73,2.11,13.53,0.46,1.83,12.34,2.91,1.85,20.88,5.65,16.45,24.95,6.5,7.48,10.91,61.83,7.26,35.85,1.69,0.36,11.79,2.94,1.38,3.72,43.68,9.7,26.0,13.24,2.12,0.2,5.75,3.58,9.64,0.24,3.17,3.46,6.69,8.83,7.66,54.54,13.55,5.01,6.7,3.54,1.89,7.8,19.48,12.07,4.87,47.74,2.82,12.21,0.42,0.58,8.89,7.14,5.97,14.03,1.99,12.43,5.63,1.61,8.23,5.23,2.85,11.24,1.04,0.62,1.76,0.84,2.82,2.64,9.76,5.81,1.97,3.99,9.13,3.69,5.64,3.75,1.54,1.8,1.57,2.07,0.39
DO33344,18.1,1.59,9.75,19.71,4.54,9.86,17.16,49.25,9.43,3.93,4.94,23.31,19.57,0.02,0.89,4.75,3.37,12.66,0.76,2.73,23.53,5.56,19.14,35.57,10.05,40.47,54.71,10.98,8.63,30.21,96.33,14.04,21.58,1.46,0.58,17.43,1.22,1.28,4.52,27.05,8.41,16.21,11.68,2.99,1.26,8.12,0.12,6.34,4.29,13.83,7.8,6.19,15.94,7.86,48.85,26.37,7.74,6.53,9.12,12.33,8.78,33.67,18.51,7.98,36.08,0.18,20.02,0.51,0.39,23.5,8.61,11.75,16.73,1.94,24.22,13.62,1.94,14.77,9.76,6.16,16.15,0.81,0.98,1.79,1.66,3.41,3.87,11.55,6.34,4.15,8.21,10.96,6.07,9.78,5.65,1.14,0.61,1.43,1.98,0.55
DO33368,7.92,0.39,5.42,7.43,9.78,9.38,14.52,29.89,6.02,2.49,3.09,9.92,10.12,0.0,0.12,5.15,5.34,18.83,0.33,2.19,8.71,1.65,5.93,20.58,5.18,15.81,6.12,5.37,1.0,52.03,117.03,2.77,10.31,0.82,0.98,8.89,4.89,1.06,2.05,16.24,11.54,16.0,10.56,1.23,0.7,3.76,0.81,5.78,0.55,1.42,6.29,4.01,8.57,3.76,19.84,11.22,2.05,9.26,6.04,0.77,3.95,11.14,3.95,8.08,18.63,0.07,13.14,0.17,0.43,16.26,5.06,7.79,10.81,2.42,9.37,8.58,8.9,22.09,5.93,1.93,13.06,0.69,1.16,1.36,2.16,3.86,3.18,5.16,4.48,2.07,2.07,7.62,5.95,5.59,3.5,1.47,2.06,1.14,3.13,0.55
DO33376,11.01,4.53,8.8,25.02,6.43,7.55,14.44,34.73,8.62,1.32,5.37,3.49,18.63,0.0,0.51,8.23,3.33,9.43,0.4,4.62,13.33,3.57,1.58,27.19,7.68,26.42,20.75,8.7,5.15,13.37,144.33,13.64,23.78,1.79,1.75,14.72,1.86,1.82,3.73,29.68,7.22,18.58,16.3,11.65,0.55,21.98,1.64,9.34,0.66,4.27,5.56,7.49,18.88,6.6,80.93,21.01,0.73,8.02,8.51,7.44,5.95,37.69,12.6,5.76,33.49,0.16,16.34,0.41,0.57,16.7,2.75,7.23,17.23,3.29,12.12,11.85,2.48,14.84,4.48,5.95,19.19,1.28,1.5,2.76,0.85,4.6,2.29,6.23,6.28,3.78,4.29,15.1,4.37,5.55,4.79,1.88,1.14,1.04,1.94,0.18
DO33392,11.89,5.68,6.89,11.56,3.66,10.15,12.98,25.26,6.88,1.98,7.49,5.74,17.82,0.0,1.02,8.99,6.56,6.9,0.53,2.88,16.13,3.75,1.34,29.23,4.94,26.81,39.75,11.37,2.32,12.58,130.38,8.07,29.72,2.15,3.07,13.69,3.33,0.61,4.16,27.85,9.9,28.08,17.3,2.11,0.13,2.35,0.44,11.62,6.06,5.02,4.6,8.44,17.97,6.35,78.9,15.85,0.96,4.12,11.82,25.6,6.19,31.39,11.89,7.34,29.7,0.16,21.72,1.72,0.36,14.66,4.25,5.78,18.8,4.39,15.08,12.92,3.33,14.55,5.46,3.31,8.59,1.85,1.59,2.98,1.45,2.86,2.12,5.94,7.6,4.69,6.55,5.37,4.61,4.52,6.91,2.16,0.96,1.61,2.06,0.24
DO33400,8.07,5.71,6.82,30.09,1.4,14.68,10.85,28.62,4.39,0.92,13.28,4.25,22.52,0.0,0.38,8.23,7.28,12.3,0.33,2.1,12.13,3.76,0.48,17.59,5.15,10.44,22.42,7.81,1.17,12.54,161.11,9.87,15.18,1.61,0.43,11.78,7.42,0.36,5.54,27.99,8.43,22.39,15.31,2.27,0.04,2.42,0.05,11.49,4.6,4.09,2.53,5.97,24.0,6.07,48.85,13.99,2.55,2.56,0.57,39.25,13.39,44.46,6.65,3.85,28.92,0.42,14.57,2.14,0.05,22.08,6.19,8.18,14.74,3.95,3.53,15.1,3.66,10.21,9.21,2.87,19.49,1.48,2.73,3.5,1.23,4.32,2.79,3.31,5.88,3.25,5.55,14.32,7.9,2.42,5.88,2.74,1.64,1.19,1.13,0.37
DO33408,7.47,0.46,10.12,28.5,15.62,5.61,7.79,31.74,5.74,0.9,4.81,13.74,20.53,0.0,0.18,3.87,3.15,15.39,0.33,1.61,11.11,2.39,1.18,20.49,7.75,12.46,17.78,9.25,5.93,16.94,102.21,17.78,21.05,1.47,2.35,22.74,1.82,0.95,3.36,33.18,6.42,18.13,12.34,10.48,0.68,4.79,0.0,9.31,1.24,1.97,3.76,8.31,16.54,6.84,48.56,16.75,0.34,5.99,4.56,51.91,7.73,26.04,8.52,3.38,30.89,0.28,11.49,0.93,0.15,12.52,3.48,5.54,14.09,1.73,12.54,9.61,0.88,6.94,7.55,3.84,9.86,0.6,1.08,2.35,0.6,1.6,1.74,3.09,7.93,3.63,4.37,6.21,2.19,5.02,3.46,1.06,1.09,0.9,0.69,0.13
DO33472,8.2,1.36,4.16,19.81,7.8,14.16,10.57,16.35,4.63,3.24,3.21,25.16,17.8,0.05,1.22,3.72,2.49,12.62,0.67,1.76,8.31,3.22,7.03,18.84,7.06,15.38,17.95,7.49,12.62,12.39,70.2,8.3,26.94,0.98,0.52,10.36,5.04,0.96,4.17,31.6,7.97,17.33,10.68,3.34,0.55,19.79,1.84,6.11,0.73,2.58,3.24,7.18,13.38,8.27,25.29,18.14,7.92,11.71,4.36,6.86,11.06,21.14,17.16,3.54,30.87,0.29,14.27,0.25,0.65,6.03,7.5,5.89,14.72,2.14,14.27,5.45,1.71,9.07,7.97,3.53,12.28,0.52,1.07,2.88,0.99,1.9,3.98,10.2,6.73,2.73,6.53,6.87,2.81,3.73,5.63,1.15,1.23,1.34,2.56,1.58
DO33480,7.52,1.52,4.14,23.81,19.44,5.32,7.28,16.35,5.45,1.03,5.18,12.99,9.18,0.0,0.77,3.86,2.82,16.06,0.43,2.52,8.96,2.83,4.78,12.01,5.92,12.85,9.59,4.35,6.86,8.77,52.25,9.16,28.8,1.61,0.72,10.75,1.51,1.01,3.9,19.37,5.58,14.91,13.89,4.75,0.28,10.75,7.56,9.04,0.75,1.36,4.47,5.18,7.91,9.84,42.7,11.89,0.36,3.53,3.65,31.94,5.58,36.72,7.62,2.07,20.47,0.11,8.28,0.41,0.18,12.04,2.49,5.73,12.67,1.38,15.59,7.71,1.11,5.54,3.39,3.97,3.17,0.35,1.2,1.97,0.49,2.43,2.08,4.39,5.37,2.4,4.94,2.6,1.65,3.56,4.43,2.28,1.51,0.71,1.18,0.17
DO33488,11.55,0.16,7.69,16.73,9.69,9.13,21.97,44.33,4.01,0.41,6.74,1.62,13.06,0.02,0.55,5.47,5.61,13.58,0.41,6.35,11.96,3.48,8.11,37.15,13.19,31.34,15.86,9.81,2.78,17.2,187.0,4.13,26.58,1.48,4.41,10.07,1.4,2.57,4.61,58.38,10.84,22.02,50.5,5.17,0.15,9.61,0.02,6.59,6.75,6.82,6.22,8.09,17.0,9.61,40.58,15.35,0.48,5.67,8.49,5.76,6.44,47.74,11.69,6.82,39.52,0.19,22.2,1.61,0.37,19.89,4.27,11.28,18.92,3.1,1.59,14.2,2.33,15.05,4.57,4.23,15.62,0.95,1.63,2.51,1.37,4.86,1.82,7.98,4.44,3.72,7.13,12.36,5.93,6.52,5.15,2.96,1.62,1.39,2.73,0.29
DO33512,9.87,2.02,7.91,26.96,2.65,19.48,10.56,33.9,6.7,2.3,2.81,32.88,17.71,0.0,1.52,3.88,1.85,13.55,0.26,1.34,16.1,4.09,4.24,17.65,5.32,19.82,19.68,9.87,4.57,14.79,137.2,4.7,24.09,0.99,1.39,8.93,1.78,0.76,4.63,46.19,6.12,19.53,12.65,4.96,0.49,5.35,4.83,10.85,0.74,1.55,3.18,7.41,10.56,6.8,43.95,20.45,2.58,7.48,10.92,5.09,13.37,14.01,6.94,8.88,34.45,0.3,7.84,0.34,0.51,3.23,9.77,7.95,20.36,1.55,17.41,5.09,1.92,11.36,11.74,2.75,11.08,0.58,0.35,1.33,1.2,1.98,3.39,5.04,2.3,2.17,3.42,5.91,2.84,3.02,1.27,0.98,1.6,0.73,1.41,0.54
DO33528,3.2,0.4,6.38,13.47,1.8,5.49,5.87,15.33,2.15,1.19,5.86,20.14,18.67,0.0,4.62,3.38,5.22,10.59,0.03,1.42,5.57,0.75,1.89,14.75,3.93,3.8,3.6,2.37,3.5,34.04,147.31,2.96,13.01,0.43,0.25,11.84,0.24,0.6,1.5,29.21,6.87,12.51,5.37,0.03,0.3,0.26,1.11,2.41,0.73,2.24,2.0,4.14,7.04,2.58,7.03,23.2,3.03,3.99,2.45,1.09,7.71,7.54,1.06,4.27,7.41,0.01,8.5,1.33,17.94,4.52,5.15,2.27,9.02,1.02,16.2,2.88,2.45,13.57,7.84,0.61,7.98,0.49,1.26,1.27,0.61,2.17,3.95,3.93,2.29,1.01,1.71,5.78,5.84,1.4,4.15,1.17,0.46,2.14,2.72,1.43
DO33544,10.9,4.0,5.3,21.87,6.34,9.09,8.34,15.87,3.51,1.33,2.8,9.25,16.96,0.0,2.55,5.39,2.46,11.08,0.29,2.56,9.42,1.86,1.42,17.97,6.91,15.69,20.77,6.31,7.18,8.91,112.46,5.83,21.86,1.43,0.48,16.31,1.42,0.95,3.85,38.39,7.48,19.57,13.11,2.9,0.21,22.23,2.04,11.15,0.86,2.38,2.8,6.71,11.05,9.21,43.02,12.83,3.88,6.46,4.38,78.15,8.66,23.1,9.5,3.52,19.63,0.23,7.61,1.36,0.2,5.12,4.32,4.04,12.19,2.7,6.25,6.38,1.82,13.69,5.27,2.9,6.67,0.68,1.97,1.19,0.82,2.12,2.16,6.01,4.26,3.07,5.82,3.48,2.83,2.27,6.53,1.68,2.03,2.11,1.49,0.37
DO33552,10.47,2.28,8.85,31.9,1.69,13.96,13.18,17.35,6.14,0.95,4.75,16.96,18.93,0.0,0.5,6.14,3.13,20.48,0.37,1.03,11.39,3.02,1.07,12.15,5.73,16.57,27.98,3.55,7.0,8.16,66.12,6.65,23.38,1.22,7.83,11.07,0.64,2.3,4.33,39.0,3.69,19.68,14.02,8.76,0.24,2.63,0.01,10.81,1.96,6.0,2.66,7.52,16.3,8.39,36.19,17.18,0.18,3.93,5.73,45.81,12.07,34.23,6.41,2.45,11.35,0.76,7.88,0.78,0.13,14.87,3.21,5.14,20.39,1.7,1.4,9.64,2.06,3.6,5.2,3.46,7.55,0.41,1.01,1.93,0.89,1.15,2.53,4.24,2.49,2.92,5.88,6.31,1.81,3.53,2.73,1.49,1.52,0.48,0.28,0.05
DO33600,13.1,5.83,9.82,18.78,8.75,10.1,9.98,18.16,5.98,0.25,7.53,6.92,19.67,0.07,12.27,5.97,3.19,10.26,0.44,2.11,4.97,3.45,0.72,18.16,7.66,15.62,10.58,5.83,11.93,9.35,43.32,9.63,20.18,1.44,1.97,21.13,0.97,1.63,3.52,34.09,6.93,23.27,16.71,0.78,0.15,3.52,0.01,11.52,1.04,2.33,2.49,7.46,11.11,9.27,44.35,12.43,10.22,5.88,1.67,34.77,7.62,27.31,12.11,3.65,22.05,1.49,10.99,1.41,0.38,10.23,7.86,5.53,14.89,2.61,13.95,5.25,1.43,12.56,2.88,3.06,11.54,0.91,0.5,3.38,0.67,1.11,3.11,4.28,6.76,2.08,6.07,7.14,3.67,3.01,6.02,1.54,0.27,1.72,1.12,0.12
DO33632,2.01,0.37,3.01,13.31,0.0,7.68,8.02,24.17,1.27,1.14,3.36,19.93,11.6,0.0,50.18,1.24,2.32,28.28,0.03,0.75,3.3,1.25,0.09,11.61,5.33,7.62,4.96,2.48,3.97,22.21,94.7,5.64,9.82,0.5,0.0,24.95,0.22,0.0,1.45,17.02,3.52,16.65,1.66,0.0,0.5,0.0,5.44,3.52,1.46,1.36,4.56,3.17,5.66,3.24,3.51,21.46,1.44,10.96,1.67,8.46,8.93,11.25,1.07,2.09,8.56,0.25,13.67,0.05,1.63,3.79,9.05,3.49,10.7,1.44,19.1,2.84,1.37,11.6,13.01,0.36,22.28,0.54,0.84,1.73,0.24,2.53,4.88,8.15,2.68,0.67,1.33,10.52,12.84,1.78,2.67,0.96,0.29,1.65,0.49,0.84
DO33656,1.31,0.0,0.49,5.04,1.15,2.31,0.74,3.25,0.36,0.62,0.97,7.8,7.55,0.0,4.6,0.85,1.13,7.27,0.0,0.4,0.42,0.52,0.0,1.71,0.66,0.76,0.72,0.06,0.41,1.56,11.24,1.01,2.29,0.06,0.0,1.47,0.27,0.03,0.91,5.77,0.96,2.7,0.7,0.0,0.3,0.0,0.39,2.66,0.03,0.09,0.21,1.81,2.07,1.04,2.34,2.6,0.2,3.61,0.18,0.36,3.66,3.25,0.59,0.56,0.53,0.0,3.88,0.0,0.0,0.34,1.29,3.85,1.58,0.08,5.13,0.6,0.67,1.09,6.53,0.14,3.81,0.07,0.06,0.7,0.77,0.12,0.37,3.22,0.15,0.13,0.62,1.29,4.44,0.15,1.53,0.0,0.0,0.31,0.36,0.11
