"CEP68","ATP2C1","FAM120A","NNAT","PLPP1","TOP2B","AACS","UNC13D","FNDC3A","FOXF1","CA2","CCL24","SFRP4","GIMAP2","CORO2A","ASPN","CCDC47","TMEM97","PPM1H","C12orf49","TUSC2","HEMK1","ICMT","B4GALT2","RPS6KA1","CPXM2","SLC36A1","PTGER2","SLC2A4RG","SH3BP5","PPP1R1B","DHX30","WASF3","C12orf29","SARAF","ATP5MC2","GLS2","GNS","STX6","RCBTB1","ITM2B","IGF2BP3","TEX2","ECPAS","SLC31A1","IGFBPL1","GPAT3","LUM","SUOX","SBNO1","IGFBP4","EMP3","PRUNE1","HHIPL2","CTDSPL","LRIG1","LYAR","TAAR1","FBXO25","RSU1","DIXDC1","ITPR1","SPARCL1","RPIA","C16orf74","TOMM70","CYP2U1","PXYLP1","CDK20","KCNS2","ZFYVE9","CBR3","TPPP3","IGSF8","C1QTNF7","PPM1L","SNHG16","APEH","MON1A","ADCY1","GFI1B","NDRG2","PKD1L2","ATP23","ENTPD3","HR","GFM1","SIK2","CRTAP","PA2G4","RNF34","LRRN3","PODN","ABRA","MSL2","MAGEF1","TBL1XR1","AQP11","MAB21L1","GPR157","ZBTB7C","ZNF284","FAM122A","MEIS3P2","ZDHHC9","MPZL1","SIRPA","MAN1A2","ITGBL1","RN7SKP79","RN7SKP203","RN7SKP250","RNU4.1","SNORA38","RN7SKP55","RN7SKP9","RN7SKP130","SACM1L","IGLV6.57","IGLV1.36","IGHA1","IGHV3.15","LINC00337","LINC01713","FEZF1.AS1","GORAB.AS1","RN7SL507P","RPS19P3","RN7SL415P","INMT","RN7SL299P","IGKV2.30","LINC00920","OR7E28P","ATXN7L3B","HLX.AS1"
3.24,49.68,50.32,0.03,25.38,23.62,7.28,11.88,20.01,1.79,286.94,2.97,15.15,15.2,12.36,28.39,89.32,17.01,4.78,10.72,5.22,3.47,29.1,11.54,22.83,3.37,4.31,3.02,10.5,6.55,8.07,10.37,0.63,3.1,113.5,54.83,0.22,39.13,9.86,4.34,214.61,16.37,13.3,15.13,12.59,1.12,8.22,416.16,3.32,4.77,43.41,11.35,6.6,0,10.29,13.58,4.38,0.06,9.12,21.75,3.81,4.37,29.36,5.21,0.06,19.43,3.14,3.56,0.75,0.03,7.65,0.98,4.47,8.42,1.1,3.67,40.54,32.34,2.84,0.29,0.03,19.44,0.43,1.83,9.43,0.9,19.97,5.64,27.49,27.1,10.16,0.14,5.16,0,8.57,21.45,53.75,1.28,0.03,1.87,12.4,0.8,3.24,3.11,15.92,97.33,15.96,18.28,19.96,0.39,1.9,0.47,173.41,9.07,0.25,0.58,0.32,8.74,2.69,0.19,31.31,9.55,0.24,0.78,0.94,0.07,1.18,0.04,0.6,6.7,0.49,4.19,0.66,0.05,37.26,0.06
3.85,44.4,42.58,0.03,16.76,45.18,11.04,5.84,52.19,2.6,19.84,7.58,176.31,11.11,6.37,74.89,43.19,5.67,4.24,15.64,6.01,3.78,18.55,8.89,19.34,11.15,4.31,3.23,11.35,10.07,33.26,13.35,1.23,6.89,159.57,108.4,0.31,88.16,13.62,13.29,554.81,6.55,7.2,17.07,9.63,0,4.45,623.88,5.37,9.83,73.74,29.26,8.11,0.16,19.79,16.15,6.57,0,13.46,30.6,5.5,8.51,86.91,11.07,0.43,19.87,3.55,5.36,0.92,0.16,6.18,5.77,3.87,8.63,1.21,5.1,36.36,24.29,1.75,0.39,0.07,28.9,0.05,1.5,3.06,3.83,23.29,6.17,39.68,35.78,15.81,0.36,10.86,0,11.1,11.02,72.8,0.33,0.02,3.66,5.11,1.06,4.69,1.61,15.83,87.12,9.56,18.72,44.14,76.66,53.43,40.31,317.85,8.31,30.74,26.47,7.84,18.12,39.73,3.44,1030.61,67.67,0.06,0,2.41,0.07,5.39,1.03,8.04,14.03,162.04,271.81,0.54,0.04,32.35,0.33
4.46,50.42,33.39,0.02,12.3,36.24,5.17,12.62,31.91,1.58,8.94,0.15,57.68,10,3.56,105.17,41.13,6.35,2.27,11.91,6.94,4.25,23.86,11.57,14.47,8.05,4.32,5.38,12.6,13.04,3.14,13.6,1.37,6.04,93.43,85.38,0.15,88.25,12.98,7.33,354.78,21.79,8.64,15.76,9.01,0.13,2.55,1112.37,3.67,5.43,54.52,38.31,10.23,0.05,20.5,12.33,6.87,0.03,7.32,34.85,5.82,3.78,53.98,5.09,1.51,17.65,4.2,5.65,0.98,0.09,4.57,3.92,2.85,9.48,1.45,2.43,42.1,27.61,2.16,0.26,0.04,9.65,0.45,2.4,0.52,0.37,18.66,5.17,48.77,31.75,9.1,0.25,10.96,0,8.04,13.77,65.51,0.98,0.06,2.24,1.75,1.28,3.27,3.3,15.57,101.35,13.08,13.1,88.32,1.34,2.08,0.81,288.93,14.02,0.43,0.62,0.33,12.38,0.41,0.56,30.9,2.94,0.05,0,0.77,0.23,0.79,0,0.19,9.95,0.6,2.48,0.38,0,20.63,0.16
5.63,67.82,39.21,0.01,16.07,21.58,5.94,44.65,32.82,1.73,9.16,1.64,10.49,7.56,6.52,37.37,46.67,14.64,2.89,9.69,5.77,4.49,26.28,16.64,13.99,1.8,4.78,2.15,24.26,10.13,20.45,13.28,4.48,6.29,87.1,79.8,0.89,44.68,14.8,10.22,249.27,21.27,12.62,25.37,11.71,0.39,3.17,284.84,3.8,6.34,72.22,22.48,6.41,0.07,16.87,8.63,8.37,0.08,11.05,23.14,4.09,6.09,49.25,7.32,5.18,12.97,2.23,12.21,1.51,0.21,9.38,2.46,6.15,10.74,0.64,4.49,68.64,24.27,1.7,0.17,0.12,13.78,0.74,2.26,0.98,1.08,17.87,5.55,27.38,34.6,11.95,0.22,4.62,0,10.45,19.28,45.05,0.32,0.02,2.44,0.63,1.31,3.45,3.65,13.16,77.37,11.07,15.49,20.28,0.96,3.5,1.01,278.94,13.35,0.51,1.42,0.42,11.78,8.16,1.98,672.89,58.56,0.17,0,0.08,0.1,0.64,0.13,0.42,4.2,0.17,63.13,0.77,0.05,18.37,0.2
1.98,38.07,28.53,0.02,7.12,13.66,8.51,26.14,17.11,0.71,3.37,1.19,9.93,3.25,11.72,19.5,28.38,7.09,1.29,15.74,5.04,3.7,13.55,7.04,13.98,2.19,4.17,2.06,8.13,2.9,15.93,10.95,0.54,9.11,73.31,82.9,0.57,48.65,5.72,5.83,123.68,13.4,5.18,14.34,7.84,0.17,8.16,133.3,5.68,8.23,69.67,53.23,4.9,0.03,14.06,5.35,4.39,0,5.1,17.96,1.37,2.54,26.64,4.55,4.89,16.26,1.01,3.37,0.85,0.03,3.13,0.82,4.5,7.18,0.17,5.13,34.1,27.72,2.35,0.14,0.01,8.88,0.49,3.62,0.48,1.16,15.19,4.08,27.37,41.03,14.06,0.11,6.16,0.01,7.62,7.49,24.97,0.27,0,1.24,0.58,0.77,3.03,0.67,11.07,45.17,4.67,6.28,26.12,1.35,7.11,0.85,1249.37,8.79,0.3,2.4,0.54,12.25,0.19,0.11,21.82,2.44,0.15,0,0.5,0.01,0.79,0.3,0.56,3.5,0.84,1.19,1.58,0,21.4,0.15
2.59,21.28,60.58,0,5.51,21.61,13.05,32.54,16.5,1.04,4.33,5.06,0.65,6.4,38.26,7.36,22.52,2.72,1.55,6.68,6.69,6.3,11.89,7.81,28.91,0.53,5.99,0.32,31.66,6.44,26.42,18.2,0.58,3.42,23.73,29.48,1.51,21.48,6.24,4.75,116.83,24.82,8.04,21,14.1,0,4.47,28.44,9.68,4.96,71.85,5.36,3.9,0.45,13.71,1.77,7.47,0,5.81,13.24,3.83,2.36,2.09,3.71,2.2,10.3,0.75,4.39,2.96,0,5.75,0.5,10.71,10.9,0.14,3.52,16.69,29.32,4.13,1.79,0.04,29.82,0.78,1.3,0.04,4.2,14.95,7.04,11.49,33.48,9.13,0.05,3.69,0,7.7,7.92,40.11,1,0,7.98,1.19,1.18,4.83,1.44,17.01,26.39,6.07,9.52,3.59,45.13,31.4,20.13,736.52,19.61,8.43,28.11,17.82,13.94,0.31,0,5.48,0.32,0.1,0,0.81,0,16.33,2.5,2.97,7.6,46.88,0,1.78,0,12.83,0
6.02,53.46,42.83,0.02,38.02,36.36,9.82,6.85,28.62,3.58,50.45,0.15,167.18,11.54,20.33,58.15,40.44,23.73,2.8,12.44,4.6,3.4,23.5,10.03,11.72,11.09,7.94,2.65,10.43,10.72,26.12,14.22,1.68,9.05,105.33,72.01,0.63,48.33,7.06,7.62,485.82,14.89,9.14,17.79,12.13,0.61,2.06,553.4,6.83,8.32,101.07,12.98,6.24,0.03,26.96,12.17,3.72,0.12,11.56,24.09,8.16,7.63,92.83,5.1,2.26,18.98,3.67,6.98,1.53,0.21,7.12,5.8,7.06,5.33,5.43,3.91,29.06,18.75,2.08,0.95,0.08,29,0.31,3.24,1.14,1.5,16.99,6.98,38.4,45.74,12.36,0.5,22.9,0,12.07,12.99,44.81,0.64,0.04,2.53,2.62,4.97,5.49,1.66,8.74,61.06,7.82,13.8,91.96,2.02,4.44,0.81,1048.8,42.37,0.39,1.44,0.16,16.86,0.35,0.17,53.21,5.44,0.14,0.25,0.48,0.2,0.92,0.36,0.82,20.5,0.35,2.92,0.95,0.06,28.1,0.27
1.83,34.59,44.3,0,5.22,23.6,11.07,38.89,13.2,0.03,0.31,0.03,0.02,1.11,3.47,0.04,33.02,6.81,2.11,8.44,8.58,4.46,46.63,8.06,14.18,0.1,0.7,0.09,41.11,2.15,34.15,16.44,3.93,9.65,109.52,249.24,1.11,49.94,12.85,3.65,141.88,28.58,8.05,19.61,12.28,0,48.79,0.84,5.95,17.86,58.92,42.14,12.78,0.05,7.07,1.31,29.21,0.11,4.35,19.78,1.54,0.16,0.08,5.81,8.44,28.98,0.48,3.94,0.86,0,4.36,3.11,1.13,10.38,0,3.03,42.08,40.34,2.3,0.01,0,11.89,4.31,6.2,0.02,1.44,20.29,6.29,57.47,58.87,11.94,0.01,0.05,0,10.85,10.08,50.34,0.19,0,3.82,7.43,0.68,0.91,2.56,5.78,33.93,0.82,6.73,26.66,0.32,0.56,0.07,304.46,30.99,0.14,0.45,0.07,12.52,0,0,0.12,0,0.32,0,0.45,0,0.08,0.14,0.47,0.12,0,0,0.1,0,18.28,0
2.1,8.96,13.83,0,2.78,7.83,4.45,0.16,7.01,0.05,4.85,0.04,0.02,0.04,0.11,0,20.61,11.72,0.16,5.35,8.35,2.48,17.36,14.38,2.4,0,1.27,0.12,14.27,1.72,0.11,17.26,0.97,10.59,26.48,174.01,0.01,17.2,4.04,2.41,7.97,12.19,4.5,7.87,6.69,0.13,6.55,0.12,3.76,5.68,8.86,155.48,2.52,1.65,1.7,0.13,23.87,0,3.62,34.26,1.21,2.01,0,4.22,0.32,15.9,0.37,1.32,2.38,0,2.02,0.94,0.14,1.43,0,0.69,95.41,15.36,3.71,0.03,0,0.37,0.07,4.3,0,0.09,13.1,0.99,7.24,179.87,11.58,0.01,0.01,0,2.42,5.92,14.91,0.11,0,0.88,0.02,0.65,1.44,0.72,5.38,15.49,1.7,4.08,1.84,2.9,4.75,0.24,1221.68,758.11,12.77,3.06,0.18,5.17,0,0,0,0,0.31,0,0,0.04,4.12,0.11,0.76,0.12,6.05,0,0.21,0.05,9.78,0.04
4.72,75.96,74.74,0.03,29.97,41.7,12.56,23.26,32.61,6.97,144.83,1.54,59.43,12.7,19.48,66.79,100.9,22.09,7.14,9.26,9.52,3.34,28.19,12.66,12.46,8.32,3.41,7.82,15.39,6.19,3.31,17.59,0.86,9.94,104.93,92.67,0.21,68.73,11.88,6.67,355.71,14.22,12.35,20.61,16.21,1.33,2.56,659.03,7.28,8.07,73.66,23.41,10.23,0.05,22.94,14.71,8.73,0,8.68,33.36,4.36,6.37,89.4,7.7,1.5,29.84,3.67,6.96,1.68,0.13,5.95,4.57,3.92,13.45,2.23,5.29,53.22,33.17,4.04,0.16,0.19,18.45,0.65,2.72,2.96,2.36,25.76,4.16,39.16,52.28,15.23,0.19,16.54,0.04,15.06,27.54,60.43,0.95,0.03,1.49,3.83,1.12,4.52,2.9,18.36,109.35,12.7,17.64,42.03,0.87,2.88,0.8,307.97,13.84,0.36,1.63,0.75,17.64,17,5.93,497.11,21.43,0.1,0,0.08,0.15,1.29,0.16,0.39,10.68,1.36,11.74,0.56,0,80.17,0.12
6.6,37.47,37.82,0.12,37.47,31.61,15.08,11.76,28.07,6.27,3.56,5.01,38.43,8.65,4.86,95.93,39.76,4.2,3.01,9.53,4.76,4.57,23.98,11.66,11.5,6.48,7.55,4.15,22.61,13.18,2.16,12.96,1.84,7.15,94.97,58.47,1.17,43.19,10.38,7.83,338.03,6.13,8.83,20.39,11.05,0.37,2.59,1220.04,5.36,9.03,219.18,29.01,5.9,0.59,9.04,13.39,6.03,0.05,9.08,26.26,6.18,7.67,142.52,4.57,5.12,17.74,5.03,10.25,2.01,0.09,6.75,4.92,7.72,5.44,1.22,4.49,44.07,15.11,1.81,0.24,0.05,27.01,1.32,1.62,2.18,1.89,16.11,9.02,48.1,32.18,11.29,0.34,19.29,0.01,9.77,11.17,60.05,0.43,0.06,5.11,2.05,0.95,4.69,2.24,5.84,84.36,12.49,17.75,49.14,32.96,23.51,10.11,1440.96,116.12,3.2,19.71,2.76,14.79,35.9,6.93,242.34,124.94,0.12,0,0.56,0.36,29.7,1.35,22.97,13.75,474.79,9.05,1.08,0.07,18.13,0.31
0.77,11.35,21.63,0.03,5.29,5.89,8.08,29.64,4.1,0,0.63,0.43,0,1.44,3.06,0,25.52,15.03,1.43,6.94,5.29,2.71,22.72,13.49,10.88,0,0.98,0.02,22.29,1.86,2.02,9.73,0.18,5.98,37.5,84.33,0.23,11.14,5.1,1.41,35.53,12.97,1.91,4.98,3.95,0,10.14,2.7,3.04,3.81,21.76,18.35,2.67,0.01,7.96,0.27,11.72,0,2.99,9.6,0.26,0.23,0,3.28,5.47,15.29,0.42,0.77,0.79,0,1.29,0.49,0.1,2.18,0.02,0.65,32.14,21.8,2.25,0,0,1.15,0.72,1.56,0.04,2.35,16.06,2.6,8.78,63.39,9,0,0,0,5.63,8.85,42.65,0.12,0,1.19,0.81,0.49,1.28,1.44,3.63,14.39,0.03,6.96,10.29,1.92,11.65,0.63,423.68,194.55,1.85,2.26,0.17,3.35,0,0,0,0,0.48,0,0.09,0,2.85,0.21,2.15,0.07,0.19,0,0.54,0,25.82,0
3.82,29.22,36.63,0.12,8.76,28.83,6.92,16.48,21.59,1.09,2.58,0.36,24.16,7.67,15.18,37.44,37.3,10.71,3,7.28,6.38,4.24,20.15,6.7,7.02,1.27,2.77,1.29,10.92,10.51,12.79,15.15,1.38,6.5,73.97,75.39,0.54,50.57,7.71,5.43,260.85,17.17,5.26,17.48,6.6,0.37,2.21,452.26,4.68,8.48,82.99,10.82,7.77,0.01,17.9,10.5,3.69,0,8.88,18.39,3.62,3.22,45,9.49,5.45,15.13,1.69,4.45,1.31,0.02,3.54,1.36,16.32,8.71,0.31,5.91,52.21,21.88,1.42,0.2,0.01,19.68,0.93,1.89,0.74,3.88,15.4,4.07,33.95,37.05,9.93,0.26,6.89,0.01,10.14,8.83,39.09,0.16,0.03,1.87,1.71,1.04,2.81,1.9,8.83,54.65,8.23,8.34,14.17,0.92,3.46,0.59,2166.02,19.15,0.15,2.1,0.23,12.23,0.87,0.51,19.25,1.45,0.04,0,1.77,0.26,0.85,0.25,0.32,2.5,0.58,1.42,2.41,0.05,19.85,0.19
4.82,38.77,56.99,0,9.89,30.07,11.8,23.31,28.48,3.56,6.24,7.82,45.42,9.54,9.48,30.59,55.65,6.08,7.36,21.07,4.5,2.69,21.01,7.4,13.52,5.68,4.39,1.4,9.84,6.17,31.58,9.47,1.28,9.82,133.88,69.31,0.24,68.07,13.14,10.04,210.54,36.41,9.56,26.97,12.67,0.1,2.8,299.12,7.11,8.71,83.83,16,10.78,0.12,10.25,7.74,3.97,0.1,10.25,20.4,5.05,6.36,50.37,5.73,0.27,17.83,1.86,4.96,1.6,0.09,9.12,2.11,10.85,12.51,1.88,5.81,30.84,12.64,2.05,0.5,0.05,23.82,0.68,3.15,1.2,2.46,19.92,7.55,23.56,46.24,14.68,0.31,8.58,0,9.6,11.29,65.25,0.66,0.02,4.86,2.11,0.81,5.94,0.85,15.94,118.22,12.24,16.98,31.09,18.68,7.87,1.55,959.39,31.99,1.48,8.35,0.4,12.95,0.25,0.15,41.62,1.57,0.09,0.17,0.01,0.06,2.83,0.91,11.14,7.96,3.3,0.22,1.2,0.06,34.28,0.1
3.52,24.65,27.63,0.04,13.54,20.66,6.15,9.92,22.33,0.66,5.25,0.88,28.57,7.55,6.26,24.99,31.26,9.4,0.54,3.7,3.91,4.49,15.4,8.05,9.19,4.94,3.99,1.11,8.51,5.14,0.82,10.95,1.06,17.45,61.58,71.12,0.19,31.64,10.25,5.62,181.6,10.26,8.24,21.43,11.49,0.4,3.12,540.03,2.09,4.51,70.9,24.33,6.42,0.1,8.13,2.93,15.46,0.01,10.68,21.48,4.48,3.98,67.35,8.15,20.38,21.55,1.54,5.05,0.86,0.06,6.04,1.72,2.84,5.09,0.36,0.95,59.28,22.55,2.27,0.17,0.01,5.63,0.06,3.71,1.16,2.57,18.84,1.89,39.79,60.54,11.14,0.09,3.86,0.08,5.39,8.73,34.44,0.11,0.02,1.08,0.36,0.69,2.26,1.17,8.57,71.92,7.43,7.68,17.35,1.24,2.9,0.42,1433.76,50.48,0.84,1.52,0.31,10.21,0.41,1.26,8.67,1.98,0.25,0,0.02,0.31,1.66,0.37,0.65,3.6,0.31,2.95,0.33,0,13.65,0.03
4.65,42.28,54.55,0.11,18.6,27.04,10.99,3.49,26.34,5.73,51.94,19.29,52.6,5.25,8.49,94.38,73.56,13.1,6.63,9.46,4.7,2.81,26.06,11.7,14.11,14.39,6.09,10.34,12.41,14,41.86,10.25,1.82,6.46,128.66,80.26,0.51,46.77,8.33,8.01,358.43,10.82,11.49,14.77,8.05,0.73,1.69,979.74,5.63,7.1,126.46,10.37,9.75,0,15.77,16.02,6.53,0,10.96,27.32,8.18,6.19,115.56,7.12,0.43,18.82,3.78,7.24,1.24,0.19,8.51,1.76,13.48,18.78,2.8,11.64,40.53,16.19,1.55,0.52,0.06,31.18,0.23,2.4,3.07,1.03,23.89,8.14,39.64,42.55,12.06,0.12,25.56,0.02,11.19,22.45,67.49,0.39,0.03,2.48,2.25,1.28,4.29,1.11,18.88,75.76,9.69,16.04,65.91,0.36,0.65,0.08,674.12,20.72,0,0.5,0,10.74,6.33,4.7,251.37,34.11,0.01,0.02,1.32,0.16,0.25,0.32,0.69,13.05,0.36,25.13,0.7,0.15,27.75,0.56
6.23,40.46,47.96,0.05,17.34,42.69,21.12,5.74,29.07,2.11,7.04,8.14,33.86,8.64,13.61,19.06,78.25,19.13,8.23,17.53,8.26,6.58,24.79,12.53,15.5,4.78,4.99,1.58,8.33,9.14,105.21,19.76,0.61,6.79,120.38,101.52,0.71,60.84,13.69,5.37,256.75,9.33,10.85,13.82,5.06,0.25,0.65,162.88,5.88,11.5,278.19,10.34,11.45,0.2,36.32,18.07,5.62,0.46,12.66,24.03,5.86,13.12,62,10.16,0.25,24.48,1.51,3.49,1.24,0.47,11.82,3.41,20.24,12.69,2.9,13.42,55.69,25.15,5.77,0.36,0.34,44.18,0.42,3.27,9.22,6.7,18.06,6.91,30.26,46.29,17.84,0.36,13.35,0,12.69,11.11,56.16,0.66,0.05,3.86,8,1.85,3.36,1.84,17.97,89.55,7.08,16.05,26.69,1.27,1.97,0.65,252.9,10.72,0.17,1.28,0.52,16.62,1.7,0.81,245.62,7.5,0.07,0.03,0.54,0.03,0.76,0.33,0.37,11.72,0.35,4.56,1.02,0.02,40.15,0.2
3.95,32.3,48.19,0,4.95,31.21,20.91,4.25,21.56,0.76,12.85,1.05,7.64,17.5,6.27,11.87,33.6,9.63,10.89,20.35,13.9,4.49,24.52,22.29,22.76,2.46,2.48,19.61,21.39,6.41,31.69,17.03,0.36,10.23,96.77,194.9,0.77,62.44,11.15,7.4,213.55,0.32,5.22,11.08,5.69,3.17,0.64,145.4,6.12,15.12,80.58,4.42,13.13,0,55.21,20.98,7.58,0.12,4.9,23.18,3.6,2.07,16.16,6.58,0.25,20.23,0.89,6.23,1,0.01,0.57,2.37,6.34,20.72,0.29,5.32,95.79,45.96,3.79,0.09,0.02,75.84,0.03,3.6,13.42,1.79,25.56,6.83,59.2,43.92,22.48,0.04,4.13,0,9.32,7.31,47.98,1.04,0.03,3.29,12.58,1.48,1.45,1.47,24,89.22,2.07,9.82,8.07,1.42,5.87,0.26,478.26,16.91,0.28,1.62,0.38,14.96,2.07,2,97.85,6.76,0.04,0,4.05,0.01,0.56,0.24,0.2,6.6,0,4.45,2.65,0.03,29.44,0.05
4.02,31.44,67.14,0.17,15.58,17.14,11.65,13.74,27.8,2.13,78.99,53.46,85.25,11.72,28.61,85.82,107.64,7.57,7.09,12.36,5.22,3.61,27.3,14.65,31.87,12.05,5.7,9.56,8.02,14.87,20.85,10.65,0.95,3.6,130.67,86.49,0.45,80.79,16.62,8.01,278.53,9.39,10.71,18.04,10.86,0.13,2.09,665.56,6.36,4.88,111.21,20.03,7.39,0.01,9.29,10.6,5.64,0.07,6.63,22.82,4.88,5.32,66.32,8.63,0.28,12.16,2.91,3.99,2.04,0.13,4.56,2.98,8.23,10.67,1.05,3.06,38.65,16.79,2.76,0.38,0.1,27.15,0.06,3.14,1.94,3.34,14.66,5.22,38.8,48.51,14.26,0.22,11.74,0,8.12,13.39,38.58,0.46,0.04,5.3,4.3,0.6,3.64,1.14,16.54,94.55,15.68,10.51,56.07,1.44,7.11,0.38,362.44,2.55,0.13,0.55,0.14,10.35,2.65,0.7,136.17,14.91,0.03,0.15,2.56,0.27,0.99,0.17,0.96,11.4,0.3,10.27,3.19,0.04,142.69,0.46
3.17,29.32,48.85,0.05,11.97,14.56,12.02,25.16,15.08,1.98,3.21,0.1,28.16,5.06,11.32,32.72,36.17,4.77,6.46,9.39,3.8,3.02,23.41,10.04,9.37,8.7,4.59,1.28,31.53,7.82,2.72,11.99,0.96,4.44,52.18,65.7,0.3,37.06,9.43,4.67,215.6,14.54,5.86,13.74,6.08,0.53,2.17,288.96,6.47,5.41,108.1,36.74,4.78,0.02,9.43,13.01,4.4,0,3.89,15.41,2.64,4.21,39.71,7.86,4.32,11.66,1.33,5.55,1.63,0.01,4.36,3.6,5.36,7.51,0.95,6.77,26.64,14.88,1.9,0.4,0.03,11.63,0.54,2.13,1.1,2.12,13.4,4.14,23.61,40.08,11.46,0.25,12.96,0,8.13,13.46,37.25,0.74,0.03,2,2.07,0.52,2.81,2.08,13.38,46.92,6,9.22,48.84,1.54,4.54,0.49,972.95,8.99,0.3,0.73,0.31,7.8,0.13,0,7.23,0.2,0.02,0.03,0.27,0.21,1.28,0.6,0.33,6.12,0.11,0.23,0.5,0,26.17,0
4.88,19.32,43.84,0.18,16.57,15.76,7.47,12.99,16.1,7.11,5.07,19.71,159.52,4.87,12.77,58.08,29.42,4.44,3.26,9.29,4.05,3.12,16.83,11.95,10.04,13.55,5.62,5.75,9.01,10.77,29.76,10.43,1.01,4.95,79.51,117.89,0.45,48.03,6.68,4.67,200.7,0.39,7.45,13.78,6.35,0.96,1.35,577.14,4.85,4.75,112.32,13.77,6.05,0,10.18,13.14,2.21,0.11,7.17,19.39,6.43,6.93,126.52,5.21,0.13,11.01,3.47,4.34,0.74,0.2,3.65,4.32,5.8,7.71,1.78,2.94,45.95,14.81,1.51,0.43,0.07,28.27,0.22,2.55,2.32,5.37,12.7,3.87,38.13,24.21,10.72,0.12,29.86,0.07,5.43,9.21,25.57,0.58,0.08,1.36,4,0.35,3.53,3.1,7.91,70.05,8.2,10.3,46.6,0.92,7.45,0,602.33,6.95,0.15,1.67,0.3,7.69,0.56,0,13.71,3.37,0.06,0.04,0.01,0.08,1.23,0,0,16.91,0.33,0.66,1.42,0.04,17.66,0.43
