"CEP68","ATP2C1","FAM120A","NNAT","PLPP1","TOP2B","AACS","UNC13D","FNDC3A","FOXF1","CA2","CCL24","SFRP4","GIMAP2","CORO2A","ASPN","CCDC47","TMEM97","PPM1H","C12orf49","TUSC2","HEMK1","ICMT","B4GALT2","RPS6KA1","CPXM2","SLC36A1","PTGER2","SLC2A4RG","SH3BP5","PPP1R1B","DHX30","WASF3","C12orf29","SARAF","ATP5MC2","GLS2","GNS","STX6","RCBTB1","ITM2B","IGF2BP3","TEX2","ECPAS","SLC31A1","IGFBPL1","GPAT3","LUM","SUOX","SBNO1","IGFBP4","EMP3","PRUNE1","HHIPL2","CTDSPL","LRIG1","LYAR","TAAR1","FBXO25","RSU1","DIXDC1","ITPR1","SPARCL1","RPIA","C16orf74","TOMM70","CYP2U1","PXYLP1","CDK20","KCNS2","ZFYVE9","CBR3","TPPP3","IGSF8","C1QTNF7","PPM1L","SNHG16","APEH","MON1A","ADCY1","GFI1B","NDRG2","PKD1L2","ATP23","ENTPD3","HR","GFM1","SIK2","CRTAP","PA2G4","RNF34","LRRN3","PODN","ABRA","MSL2","MAGEF1","TBL1XR1","AQP11","MAB21L1","GPR157","ZBTB7C","ZNF284","FAM122A","MEIS3P2","ZDHHC9","MPZL1","SIRPA","MAN1A2","ITGBL1","RN7SKP79","RN7SKP203","RN7SKP250","RNU4.1","SNORA38","RN7SKP55","RN7SKP9","RN7SKP130","SACM1L","IGLV6.57","IGLV1.36","IGHA1","IGHV3.15","LINC00337","LINC01713","FEZF1.AS1","GORAB.AS1","RN7SL507P","RPS19P3","RN7SL415P","INMT","RN7SL299P","IGKV2.30","LINC00920","OR7E28P","ATXN7L3B","HLX.AS1"
3.74,35.75,88.44,0.11,13.65,45.33,21.81,1.62,39,2.8,1.55,297.63,91.95,10.53,10.4,48.19,52.62,23.89,9.36,14.07,9.52,6.61,19.3,12.44,9.53,14.07,2.33,7.25,8.5,11.95,29.12,17.11,2.57,12.45,87.94,135.13,0.46,52.25,9.37,9.49,287.38,2.28,23.22,30.16,19.35,0.53,7.96,520.84,14.51,11.85,86.34,12.52,9.81,1.52,10.19,15.64,10.19,2.2,14.87,17.89,6.17,6.25,55.09,10.42,0.26,20.96,2.84,3.43,0.29,0.05,8.49,4.05,7.66,17.04,2.24,7.36,76.64,25.03,1.88,0.49,0.07,8.43,0.15,3.93,0.14,2.01,15.63,7.51,25.32,47.46,15.85,0.13,13.29,0.02,13.48,27.6,65.01,0.16,0.01,2.42,8.32,0.95,4.9,0.74,17,108.45,5.34,20.82,68.58,0.55,1.58,0.41,383.55,13.74,0,1.16,0,20.53,2.29,2.11,279.91,20.4,0.14,0,1.93,0.12,0.37,0.3,0.47,9.57,0.29,10.28,2.96,0.14,31.65,0.22
4.66,35.98,43.29,0.07,6.94,34.76,7.95,32.88,19.82,1.48,5.24,1.37,17.22,5.17,8.57,51.28,33.81,10.2,1.76,9.62,4.83,2.61,17.43,17.03,8.37,3.06,1.72,1.4,11.94,8.23,28.12,13.55,0.76,7.88,104.39,102,0.25,46.83,7.11,4.08,141.63,13.92,6.75,13.65,7,0.22,4.5,337.49,4.17,7.89,77.66,14.29,8.2,0.06,17.31,10.21,8.48,0.13,11.41,15.25,2.99,2.84,22.23,8.8,3.04,20.12,1.07,4.18,0.91,0.04,10.92,2.56,2.28,15.61,0.64,6.58,66.35,20.91,3,0.22,0,19.9,0.37,2.67,1.44,3.39,16.17,4.02,42.71,44.62,12.44,0.1,5.27,0.01,9.37,12.11,62.56,0.33,0.01,2.25,3.43,0.58,2.17,3.07,10.56,81.59,6.2,9.3,21.72,1.11,5.62,0.54,1749.08,15.24,0.33,3.23,0.17,8.76,0.69,0.43,18.89,1.68,0.07,0,0.1,0.21,0.87,0.05,0.45,5.58,0.64,2.91,0.25,0,23.59,0.04
0.94,10.98,15.94,0,5.28,10.23,7.67,20.14,3.75,0.02,4.89,0.17,0.03,2.17,2.43,0,43.61,4.97,2.95,8.69,5.47,2.05,28.55,11.55,8.28,0.04,0.94,1.05,13.52,4.17,0.07,9.83,0.6,8.59,51.05,92.57,0.03,20.83,9.01,1.67,28.55,17.45,4.9,7.33,6.46,0.22,17.33,5.15,2.39,5.23,24.27,53.15,3.79,0.04,6.61,0.68,26.94,0.06,4.11,11.3,1.1,1.38,0.02,2.07,3.75,15.44,0.5,4.31,0.93,0,2.45,1.83,0.24,4.61,0.02,0.24,64.46,18.14,1.49,0.12,0,1.26,0.83,1.63,0.31,0.81,12.61,1.9,8.96,64.27,11.16,0,0.1,0,4.4,7.17,48.33,0.19,0.01,5.03,0.43,0.49,1.38,1.38,7.04,31.8,0.33,7.67,13.47,1.79,11.23,0.38,576.45,526.27,2.72,3.36,0.14,3.24,0,0,0,0,0.89,0,0.04,0.06,2.36,0.67,0.76,0.13,0.62,0,0.83,0,23.09,0.06
4.63,27.55,49.56,0.02,18.49,20.62,7,9.25,19.19,2.22,91.42,6.78,18.47,10.39,6.39,21.73,58.86,15.44,4.23,6.5,6.38,5.43,22.13,9.98,23.12,6.86,3.18,4.04,9.1,7.94,43.69,15.07,0.95,2.85,97.74,43.49,0.32,26.99,7.53,4.42,247.78,6.52,6.8,15.53,7.76,0.97,2.05,386.9,4.86,3.32,69.48,9.77,5.61,0.04,19.62,20.11,3.09,0,7.34,14.09,3.32,4.06,44.75,8.19,0.7,12.09,2.03,3.3,0.89,0.09,4.38,3.11,16.71,9.17,2.06,8.73,20.25,27.23,2.08,0.33,0.12,20.85,0.36,1.84,1.81,2.44,13.48,4.58,28.71,34.79,6.89,0.29,8.6,0,7.85,14.84,34.02,0.49,0.03,1.68,4.57,0.68,2.18,2.37,11.05,59.61,8.05,9.74,18.42,1.6,5.32,1.19,385.76,10.33,0,1.39,0.72,10.24,8.98,4.28,654.01,32.19,0.17,0,1.09,0.08,6.71,0.2,0.64,9.06,0.18,23.29,0.73,0.02,16.62,0.27
2.72,55.19,68.77,0,14.79,17.02,14.09,16.96,12.14,1.05,21.73,11.44,19.72,4.66,7.64,20.28,47.44,26.55,9.05,18.8,8.2,5,14.87,19.05,10.88,6.58,2.01,1.22,9.28,10.21,39.54,15.44,2.3,6.98,50.21,88.41,0.54,73.93,15.51,3.41,121.24,5.74,7.8,19.7,14.71,0.27,0.85,202.88,5.33,4.64,81.84,10.26,7.88,0,18.37,31.22,6.1,0.12,6.6,22.99,4.04,5.63,22.36,6.92,0.1,15.89,1.74,8.36,2.53,0.01,5.73,3.01,64.48,11,0.31,10.14,88.12,39.33,3.56,0.79,0.05,10.71,0.15,2.14,1.65,1.93,16.24,9.63,47.51,37.82,8.93,0.06,8.89,0,8.31,5.35,22.73,0.87,0.03,2.05,3.22,0.41,2.86,0.72,16.3,83.56,10.92,9.76,19.3,1.29,4.97,0.32,186.91,5.45,0.22,1.03,0.23,10.71,3.27,1.84,497.42,33.07,0,0,1.72,0.13,1.4,0.2,0.24,3.42,0.74,23.85,0.23,0,42.25,0.06
3.93,34.23,39.34,0.73,14.78,25.07,11,6.92,17.61,7.94,2.51,0.79,19.75,4.48,6.42,47.58,47.77,5.66,10.16,10.63,8.26,5.9,24.67,16.02,15.34,8.61,5.38,4.12,11.44,11.61,30.86,17.7,1.63,5.12,95.74,80.89,0.55,48.58,7.66,5.09,184.84,10.68,7.44,12.84,4.87,0.48,1.78,143.62,9.34,6.06,156.66,17.09,4.9,0.92,25.39,37.14,2.27,0.03,9.52,19.63,5.85,6.87,86.34,5.25,1.49,13.76,1.73,7.96,1.15,0.01,1.67,3.53,10.69,16.08,0.48,8.38,27.58,37.33,2.38,0.17,0.02,42.78,1.1,1.93,1.46,2.39,18.76,3.99,42.29,36.63,12.31,0.17,12.12,0.07,8.5,11.51,26.98,0.31,0.13,1.73,6.28,0.91,1.91,3.67,11.11,48.99,8.81,14.77,24.62,1.1,7.52,0.42,473.36,10.58,0.44,1.37,0.79,11.22,3.54,0.58,122.32,9.87,0.13,0.03,0.34,0.04,0.93,0.43,0.72,10.48,0.25,5.59,0.21,0.07,21.72,0.27
0.33,8.5,22.98,0.12,7.84,8.96,8.63,19.93,4.07,0,0.69,0.09,0,2.47,3.74,0,12.42,7.74,0.96,10.03,11.3,4.01,30.11,10.78,12.49,0.01,0.92,0.02,27.52,4.49,0.06,14.37,0,7.43,36.12,145.06,0.15,14.94,4.35,2.04,47.66,16.25,1.43,8.01,5.52,0,5.74,4.65,4.58,3.95,23.53,93.62,2.48,0,16.24,0.09,15.82,0,1.56,13.12,0.08,0.13,0,2.73,5.59,12.4,0.12,1.76,1.09,0,1.67,2.01,0.24,4.76,0,0.93,17.29,33.17,3.49,0,0,4.55,0.49,1.07,1.37,0.17,11.39,1.77,8.01,98.79,10.15,0,0.05,0,4.54,10.23,51.91,0.2,0,1.49,0.83,0.54,1.99,1.07,5.66,20.65,0.01,8.24,36.16,4.68,11.05,2.2,763.67,630.61,16.96,3.88,0.57,5.83,0,0,0,0,0.92,0,0.22,0,2.1,0.72,0.97,0.16,1.63,0,0.73,0.01,18.02,0
1.02,2.47,11.93,0,1.26,0.56,3.53,7.8,0.66,0,1.84,0.26,0,0,0.79,0,8.52,6.24,0,0.98,0.69,0.78,6.61,5.91,2.74,0,0.38,0.69,9.38,0.2,0.17,3.03,0.03,1.24,3.58,19.06,0.08,1.21,2.1,0.15,0.85,1.36,1.17,4.5,2.27,0,2.15,0,0.38,0.4,3.1,33.17,1.61,0.62,1.86,0.03,1.87,0,0,7.6,0,0,0,0.72,3.83,3.03,0,0.9,0.08,0,0.18,1.27,0,1.36,0,0,18.46,8.15,0.54,0,0,0.63,0.56,0.28,0,4.83,2.9,0.46,2.5,38.6,10.3,0,0,0,4.87,0.87,11.1,0,0,0.33,0.38,0.07,0.47,0.67,2.07,8.09,0.54,0.57,0,2.4,13.01,1.53,158.13,688.62,2.15,4.95,0,1.26,0,0,0,0,0.13,0,0,0,3.91,0,0,0.23,4.19,0,0.07,0,1.1,0.27
4.23,55.1,64.84,0.04,23.1,24.36,8.32,6.21,25.85,5.69,39.99,8.39,80.8,11.93,6.69,52.54,41.39,32.74,21.79,11.2,6.37,4.64,31.72,7.51,14.19,10.25,6.15,3.32,4.67,10.73,37.73,16.86,0.86,8.62,92.02,101.15,1.05,195.16,13.92,11.05,300.62,6.2,11.67,29.25,17.49,0.33,1.15,454.24,7.25,7.29,84.52,19.58,9.37,0.04,13.68,20.27,8.8,0.14,12.07,24.43,5.47,7.15,93.35,15.66,0.55,27.75,3.61,5.92,1.44,0.31,5.9,1.95,50.64,14.56,2.01,7.91,46.74,22.77,4.14,0.31,0.02,13.98,0.15,6.54,0.23,1.74,22.05,8.44,50.85,93.05,11.08,0.1,10.38,0.03,13.63,20.86,55.29,1.29,0.03,3.98,1.68,1.09,3.93,2.67,19.82,92.63,13.69,13.22,48.08,0.91,7.68,0.44,602.45,20.14,0.09,2.67,0.19,13.6,33.2,46.11,1142.29,56.17,0.11,0.03,1.16,0.07,0.39,0.18,0.3,14.88,0.21,110.3,0.81,0,22.27,0.18
3.39,32.96,37.25,0.05,8.74,13.91,6.98,14.3,13.15,1.45,7.77,2.2,1.36,2.74,8.33,18.18,31.95,2.87,2.07,10.22,3.72,3.87,19.1,10.55,7.78,3.05,4.17,1,9.96,15.17,2.3,12.24,1.04,6.79,86.15,61.79,0.69,35.9,10.42,3.06,104.76,6.52,6.96,23.55,11.64,0.4,3.68,130.6,3.66,10.06,79.69,19.37,5.01,0.09,8.08,9,6.05,0.25,8.22,25.78,4.42,7.62,51.61,4.2,3.54,11.94,0.82,2.87,2.42,0.01,5.04,1.81,11.97,8.41,0.4,3.43,53.36,13.16,1.73,0.36,0,11.98,1.86,1.67,0.36,0.67,18.89,3.86,34.4,35.73,9.62,0.18,5.35,0.01,8.37,12.17,38.01,0.14,0.01,2.35,0.49,0.67,2.73,0.92,8.96,42.94,10.54,11.4,18.08,1.47,3.86,0.82,1142.65,16.45,0.39,2.26,0.56,10.16,0.25,0.41,35.58,1.4,0.04,0,0.17,0.32,0.83,0.41,0.42,4.18,0.53,2.42,0.46,0.05,12.11,0.08
4.52,29.03,58.75,0.01,10.77,17.01,9.46,5.28,24.09,3.26,24.02,50.95,61.3,12.43,9.88,13.33,29.62,8.55,5.43,8.94,5.06,4.63,18.9,23.4,19.59,10.46,3.61,34.62,10.09,6.07,92.93,11.37,1.29,3.71,114.3,68.87,0.38,31.88,13,9.75,220.75,0.48,7.45,16.74,5.6,0.11,4.21,233.05,4.21,4.55,61.89,7.25,8.8,0.04,34.17,17.63,5.08,0.06,9,26.1,4.91,4.09,42.36,7.76,0.24,19.01,1.84,3.05,1.5,0.08,9.87,2.08,17.91,28.32,2.55,5.15,50.03,24.99,2.71,1.19,0.01,76.36,0.11,0.95,5.39,2.3,16.09,6.79,34.05,23.03,9.49,0.23,9.64,0,9.4,17.22,33.67,0.74,0.01,2.24,4.85,0.42,4.54,2.76,17.25,121.92,6.15,11.6,31.59,0.84,3.07,0.41,155.1,6.34,0.12,1.4,0.38,11.2,4.45,0.33,73.06,7.29,0.14,0.04,2.4,0.07,0.85,0.08,0.61,12.85,0.21,3.23,1.98,0.03,20.13,0.25
2.52,38.94,42.61,0.07,14.57,25.75,12.92,17.1,30.12,2.86,4.75,12.82,26.42,4.76,10.96,16.25,40.04,13.82,10.51,11.37,11.21,7.17,37.56,25.89,22.87,6.83,4.59,3.43,10.73,8.66,45.66,21.25,2.01,4.98,97.42,86.84,1.41,54.02,9.94,10.58,306.09,9.18,6.84,12.64,7.51,0.11,1.7,316.47,6.89,5.29,89.66,14.65,7.28,0.13,26.31,9.61,4.55,0.12,6,21.61,4.45,7.17,38.02,8.26,1.11,14.97,1.66,4.48,1.12,0.03,10.15,2.74,5.22,12.88,1.1,9.32,26.93,32.52,4.25,0.78,0.09,20.07,0.7,4.21,0.98,4.67,18.78,4.55,30.83,41.23,14.41,0.32,8.75,0,9.12,15.49,50.73,0.71,0.02,18.64,8.9,0.85,5.2,3.79,24.24,88.06,6.99,16.79,27.56,1.21,7.43,0.53,996,19.41,0.22,2.55,0.12,12.68,4.31,0.08,138.74,15.72,0.19,0,10.37,0.06,1.42,0.07,0.61,8.85,0.75,13.19,0.2,0,26.15,0.17
3.13,48.41,34.04,0.1,7.83,37.16,7.18,13.65,23.28,1.56,2.86,7.05,7.01,5.55,9.43,31.53,56.36,3.76,4.97,6.06,3.11,3,13.04,7.12,10.32,1.41,3.47,1.69,13.63,7.83,4.16,8.7,1.16,6.8,128.83,73.26,0.54,48.47,7.27,5.62,232.52,9.93,8.66,16.93,7.06,0.09,6.85,398.13,5.74,6.32,49.31,17.21,5.19,0.06,9.68,5.71,4.23,0.06,12.22,21.86,4.86,3.59,19.97,5.56,2.42,17.14,1.73,4.29,0.85,0,6.07,0.93,2.12,4.07,0.48,7.83,24.06,12.12,0.98,0.45,0.07,9.08,3.69,1.35,0.54,1.45,16.61,3.56,22.4,41.2,12.46,0.1,4.21,0,8.5,11.16,50.25,0.5,0.02,2.31,0.79,0.81,2.73,1.33,16.61,52.51,6.28,9.51,21.4,6.9,15.7,1.3,3764.16,110.37,1.48,17.39,1.75,11.15,0.15,0.43,26.57,6.34,0.1,0.03,0.12,0.18,8.05,0.98,10.92,3.04,0.42,0.87,0.5,0.14,19.41,0.06
13.85,0.76,0.77,7.57,17.53,0.63,27.44,4.81,2.77,0.17,0,0,3.63,14.23,4.77,2.1,5.05,22.9,0.78,0.95,0,0.9,8.8,2.01,0,0,0,0.89,1.77,20.69,12.85,13.33,0.57,14.74,0,21.27,7.18,4.18,2.12,2.46,6.05,3.7,4.99,0.12,29.22,0,0,1.76,12.69,1.1,0.58,0,0,0,0.36,3.36,2.36,0,12.75,2.22,0.75,3.74,4.08,0,0,9.67,0.81,0.24,0.12,2.02,0.26,3.36,0,0,8.21,1.35,6.45,0,6.77,0.34,0,14.97,3.16,0,1.77,0.07,30.64,8.61,1.43,4.29,27.54,9.4,19.19,0.31,0.19,1.54,1.01,4.17,4.82,5.84,0.26,2.05,0,0,0,2.71,0,1.09,1.38,0,0,0,0,0,0,0,1.65,0.14,0,0,0,0,0,0,2.72,2.76,0,0,0,20.34,0,0,0.4,0,0,7.33
3.99,31.94,71.26,0.03,8.53,18.97,11.69,9.29,16.09,1.52,15.93,1.61,16.66,6.22,39.96,8.39,22.99,6.37,2.59,14.36,6.3,3.33,25.59,10.24,37.48,4.74,2.84,1.45,8.23,8.45,40.64,16.32,0.5,5,51.67,77.02,0.32,44.27,9.07,5.18,156.87,10.74,4.49,19.92,8.69,0.42,4.19,170.94,4.75,4.08,85.38,27.81,7.23,0.01,14.67,7.01,4.1,0,3.07,15.8,3.37,4.31,25.91,7.18,0.43,10.91,1.18,4.8,1.22,0.03,4.89,2.01,3.89,17.14,1.46,4.8,20.71,28.39,2.68,0.21,0.07,24.4,0.29,1.82,0.8,1.49,14.48,4.07,27.45,38.11,11.27,0.2,6.16,0,7.44,9.67,42.71,0.81,0.01,4.26,3.47,0.44,3.4,1.98,17.13,66.24,6.57,9.57,20.03,0.71,4.34,0.5,452.48,11.98,0.36,1.25,0.66,10.36,0.88,0.48,34.73,3.57,0.19,0.02,1.07,0.04,1.27,0.19,0.54,5.96,0.32,4.71,0.56,0.05,23.96,0.25
1.17,37.38,21.52,0,13.03,39.49,13.41,22.33,13.95,0.03,1.85,0,0.04,6.17,7.32,0.12,22.33,10.59,1.53,11.83,6.46,4.4,29.67,15.12,14.25,0.01,0.61,0.17,35.92,5.57,0.2,8.57,0.5,12.53,73.85,139.1,0.11,26.42,5.33,4.32,209.99,24.62,2.98,10.35,8.18,0.03,14.78,33.21,3.89,7.76,20.02,18.47,7.46,0.01,17.41,1.95,17.71,0.1,4.28,11.42,1.02,0.41,0.09,5.93,11.37,37.23,1.12,4.88,0.75,0,2.94,4.39,0.36,5.28,0,2.34,36.74,26.08,0.96,0.02,0,18.33,1.84,5.45,1,0.5,18.01,3.14,25.93,56.37,15.86,0,0.02,0,7.26,14.81,67.97,0.26,0,0.75,4.4,1.38,1.75,1.82,9.28,35.7,0.01,8.48,14.85,28.26,11.62,3.59,382.24,24.28,2.96,15.68,0.57,10.14,0,0,0.04,0,0.63,0,0.07,0.03,2.56,0.49,11.31,0.16,2.18,0,2.13,0,19.43,0.06
6.37,28.41,46.33,0.09,41.91,20.2,14.61,7.6,22.37,6.05,104.96,0.37,25.25,3.79,10.2,30.39,47.53,11.85,4.95,13.32,5.77,5,42.17,15.53,13.64,13.69,5.49,3.43,18.94,9.14,5.17,13.63,1.12,4.97,116.71,57.18,0.22,62.28,10.39,7.14,243.77,15.39,8.84,18.32,8.88,0.25,3.15,644.71,4.82,7.14,153.87,14.97,7.33,0.01,22.65,8.82,4.16,0.13,7.11,27.24,4.85,5.71,58.55,5.31,1.76,15.26,3.12,6.03,1.73,0.09,6.57,3.09,45.9,12.72,4.92,6.07,27.77,22.45,2.63,0.88,0.03,23.79,1.07,1.54,0.47,0.79,15.13,7.14,46.59,29.05,11.64,0.38,23.07,0,9.94,19.47,46.8,0.63,0.01,3.69,0.59,0.5,3.51,3.97,15.05,92.35,15.79,14.74,63.47,0.49,1.56,0.67,314.84,10.85,0.31,0.77,0.44,10.16,1.15,0.32,38.12,160.59,0.43,0.13,0.02,0.11,1.2,0.18,0.34,21.3,0.31,46.45,0.49,0.06,33.42,0.27
4.6,25.39,62.73,0.02,12.76,22.73,6.72,13.09,37.79,2.23,40.93,2.2,48.49,10.01,14.16,97.46,49.11,15.36,4.13,10.03,4.16,2.25,19.64,9.73,8.95,7.51,7.07,4.47,12.47,7.25,16.65,10.53,0.98,7.59,126.39,79.54,0.2,61.95,15.01,9.19,347.78,8.69,10.98,39.44,11.86,0.41,2.26,800.24,4.61,8.12,81.78,22.05,8.93,0.03,9.97,10.14,6.14,0.17,6.78,30.13,4.36,5.74,81.4,4.2,0.09,21.55,3.55,5.45,1.61,0.04,5.29,2.08,3.48,10.34,0.93,3.7,37.74,13.03,1.87,0.73,0.15,20.18,0.29,1.92,2,2.03,19.39,5.33,43.69,34.43,11.95,0.28,17.28,0.01,11.02,8.75,55.59,0.81,0.05,1.64,4.65,1.28,5.18,1.7,13.21,117.13,20.31,11.37,56.28,0.5,0.98,0.28,401.67,6.89,0,1.87,0.52,11.51,0.09,0,5.94,0.72,0,0,3.85,0.25,0.68,0.19,0.55,12.54,0.57,0.22,1.1,0.03,22.08,0.25
6.84,53.43,42.33,0.03,28.94,40.32,7.55,19.48,33.85,2.58,13.73,2.45,32.25,10.02,12.14,23.44,81.48,21.09,5.22,9.63,7.3,5.17,19.84,17.67,13.21,4.08,4.08,6.76,21.88,9.58,22.12,14.18,1.35,5.56,155.85,78.82,0.59,37.46,12,6.21,415.83,24.06,12.6,15.48,10.39,0,1.32,361.11,5.97,5.81,80.76,35.5,8.33,0.06,34.86,14.81,5.55,0.03,9.49,18.09,7.86,8.1,35.34,6.49,2.84,20.33,2.29,5.73,1.19,0.3,6.68,2.44,6.55,6.85,1.59,6.79,63.53,22.8,2.43,0.2,0.2,27.75,0.77,1.67,6.71,1.51,17.65,5.24,40.09,37.6,10.25,0.35,8.87,0,11.62,15.31,53.73,0.39,0.03,4.03,1.93,1.71,2.65,2.56,10.3,115.17,19.37,17.6,30.61,2.04,5.12,1.19,1047.75,17.87,0.38,2.43,0.13,17.82,0.32,0.2,15.57,0.58,0.16,0.07,0.28,0.04,0.27,0.16,0.27,8.33,0.28,0.38,1.18,0,17.88,0.31
3.8,34.46,31.11,0.33,16.44,20.1,7.98,18.72,16.61,5.78,10.99,4.2,16.11,2.77,7.55,45.99,38.58,5.1,2.68,10.5,3.72,3.37,24.05,12.29,12.41,5.47,4.08,3.41,12.32,10.97,2.47,11.37,1.15,5.11,95.48,92.22,0.2,38,8.61,5.33,187.52,8.64,7.05,14.78,6.79,0.53,3.13,380.88,2.99,6.45,139.12,31.3,5.4,0.2,6.71,15.75,4.11,0.08,6.57,19.86,5.64,4.8,71.1,2.96,6.94,15.88,1.76,3.36,0.88,0.01,4.37,2.49,12.6,5.88,0.46,3.52,37.12,19.14,2.02,0.1,0,9.29,0.83,2.62,1.31,1.4,15.19,4.38,36.39,37.82,9.04,0.09,10.42,0.42,5.86,9.24,35.58,0.32,0.03,5.07,0.69,0.81,2.56,3.01,12.11,68.31,7.9,10.75,7.15,1.25,7.58,0.4,1045.37,12,0.46,1.44,0.32,9.26,0.69,0.23,27.69,3.16,0.11,0,0,0.47,0.65,0.51,0.83,3.13,0.52,1.75,0.41,0,16.86,0.08
4.11,31.62,55.55,0.02,9.93,41.63,5.81,11.43,24.81,1.57,3.76,1.12,54.02,13.61,40.69,50.6,43.4,26.85,22.45,10.37,8.5,5.17,26.98,10.96,12.91,7.78,3.89,1.82,12.95,5.9,68.87,18.1,1.2,6.45,128.62,151.53,1.02,118.64,18.39,4.68,197.98,9.48,10.23,24.06,9.74,0.63,1.04,472.4,8.85,7,76.29,12.77,13.7,0.04,21.97,35.6,4.47,0.18,10.43,13.01,4.62,4.29,60.08,9.88,0.2,20.86,2.91,5.1,3.11,0.38,4.12,6.1,9.64,18.04,2.47,4.02,71.17,24.63,2.88,0.75,0.02,24.01,0.37,4.21,2.87,3.18,16.28,6.34,39.91,61.38,9.27,0.26,10,0.01,10.88,11.25,55.47,0.75,0.09,2.82,4.7,1.24,4.01,6.31,13.8,124.47,8.36,13.55,37.45,1.11,4.74,0.64,637.5,9.33,0.11,1.92,0.69,13.02,4.54,0.76,347.43,37.64,0.18,0,1.18,0.27,1.06,0.07,0.49,9.77,0.38,28.27,0.2,0.05,18.68,0.11
4.26,56.72,120.43,0,18.99,28.54,27.12,4.79,34.61,1.02,201.13,54.74,3.25,10.62,34.75,1.66,81.96,48.14,8.03,21.35,13.25,4.37,29.6,18.68,35.18,0.23,6.99,15.53,5.17,12.48,124.18,20.84,0.25,8.04,106.57,103.69,1.61,30.87,14.66,8.64,329.36,0.86,12.53,17.31,16.26,0.63,2.28,24.54,7.67,7.42,82.62,1.07,24.45,0.08,33.8,17.91,6.56,0.25,3.79,21.54,3.01,2.46,6.98,15.51,0.16,24.64,2.58,9.25,3.03,0,9.11,10.64,30.5,18.36,0.33,12.3,95.7,33.21,5.58,0.05,0.07,63.55,0.11,2.61,10.69,1.78,24.69,5.15,33.63,41.97,19.88,0.01,0.5,0,9.95,18.48,54.75,0.91,0,9.62,13.76,0.9,6.04,1.36,32.2,128.02,14.2,7.96,1.19,59.61,42.79,34.89,242.42,23,21.13,21.39,7.45,19.61,0.09,0,4.63,0.18,0,0.24,3.62,0,8.9,0.27,6.82,1.76,142.64,0.1,0.41,0,101.08,0.34
3.8,43.95,52.51,0.03,11.17,23.18,7.08,26.34,18,2.51,4,6.25,19.54,9.02,11.47,31.82,36.51,8.07,2.9,10.63,6.71,5.21,21.95,12.72,9.45,5.61,3.32,3.13,37.78,8.36,3.75,11.25,0.79,18.03,88.2,145.41,0.35,65.12,10.12,5.91,238.31,47.95,6.08,20.96,8.17,0.06,2.27,348.8,5.1,7.17,43.59,22.08,4.99,0.24,18.15,4.6,8.46,0,10.67,30.17,3.49,5.28,54.55,5.46,14.11,20.22,2.02,3.06,1.11,0.02,4.36,1.87,2.76,4.36,1.97,1.13,68.08,21.38,2.41,0.15,0.06,16.05,2.74,2.77,0.8,0.39,13.52,6.28,30.97,76.37,14.49,0.45,11.12,0,10.32,7.66,55.31,0.53,0.05,1.72,0.38,0.7,2.49,0.91,22.02,49.25,7.41,9.45,35.11,51.85,44.73,26.2,699.96,16.19,24.32,17.3,7.11,13.94,0.97,0.19,76.85,4.42,0.1,0,0.6,0.15,6.93,1.07,4.81,4.53,145.15,4.04,1.64,0.08,26,0.06
