"EDC4","EIF2A","GUCY2C","ITGA2","LOC100129066","LOC728743","MED26","PCDHGB5","POT1","SAV1","SFRS17A","SH2B1","SLMAP","SNAI3","TCTE3","TIMM17A","TRIM67"
-0.2807,-0.1187,-0.1995,-0.3973,-0.3369,0.0338,0.2258,0.3751,-0.6104,-1.1253,-0.6196,-0.0761,-0.161,0.2753,-1.0362,-0.8228,-0.2492
-0.6875,-1.1542,-0.2006,-0.4205,-0.3913,-0.4859,-0.1164,-0.1028,0.1159,-0.1849,0.168,-0.0669,0.092,0.7716,0.0494,-0.4439,-0.203
-0.491,0.6725,-0.2012,2.8147,0.0984,-0.599,-1.0084,-0.573,0.7758,1.3849,-1.2766,-0.6562,0.7192,-0.9067,-0.5254,0.2923,-0.3121
-0.7194,-0.9268,-0.1926,0.1596,-0.3513,-0.0612,0.0329,-0.4267,-0.3931,1.6811,0.3061,0.3358,-0.3289,-0.6711,1.0824,0.9639,0.2295
-0.1764,-0.2823,-0.1986,0.3048,-0.7333,0.0053,0.2132,-0.5067,-0.8267,0.4121,-0.8215,-0.306,-0.1837,0.2336,-0.559,-0.5261,-0.0956
-0.4866,-0.8693,-0.1926,-0.0596,-0.7333,0.3571,0.8481,-0.5469,0.2475,-0.4968,1.1183,0.4179,0.1896,-0.4012,0.0773,-0.2051,-0.0836
-0.2848,-0.8719,-0.2021,0.3326,0.2689,0.1748,-0.2576,-0.5317,-0.296,-1.1028,-0.6157,0.6907,0.2254,-0.4144,-0.5401,-0.542,0.1696
1.063,-1.0404,-0.0678,-0.2115,0.3467,0.0399,-0.3346,0.7312,0.2284,-0.0935,1.4462,0.5622,-0.0986,0.0516,0.7354,-0.1106,-0.0982
0.2744,0.3463,-0.1938,1.8614,-0.0254,-0.1129,0.0551,3.9986,0.112,0.7098,-0.6497,0.4065,-0.087,-0.2336,-0.5393,0.5702,-0.1679
2.3269,1.2404,-0.2004,0.3657,0.8885,-0.3712,0.2863,-0.5378,0.4432,0.5075,2.1028,3.7181,-0.7493,1.8495,1.7357,-0.8545,-0.231
0.1588,0.0993,0.4298,-0.5612,0.2275,0.0252,0.624,-0.5072,-0.171,-0.3445,0.625,0.626,-0.3539,-0.5562,1.1001,0.1332,0.0506
-0.4562,-0.9556,-0.1722,0.2405,-0.0821,-0.2821,-0.803,-0.5359,-0.1438,-0.3996,-0.8322,-0.486,-0.3414,-0.2964,-0.5448,0.1572,0.0066
0.7126,-1.428,-0.2039,-1.3797,-0.5196,-0.296,0.0722,-0.5588,0.5829,-0.5857,-0.7684,-0.7198,-0.9819,-0.3868,-0.9942,-0.1132,-0.1353
-0.0714,-0.5466,-0.1988,0.0328,-0.3564,-0.4823,-0.7031,0.5141,-0.5028,0.1531,-0.0547,-0.2143,-0.2964,0.3891,-0.2413,-0.8325,-0.0677
0.5914,-0.5453,0.1679,-0.7401,-0.0976,1.0802,-0.2997,-0.0042,-0.6056,0.8615,0.5118,0.4214,8.8944,-0.1617,-0.0948,-0.9799,-0.0435
0.0603,-0.1433,-0.1342,0.8888,-0.7333,-0.7162,3.1565,-0.5667,0.4063,-0.7159,-0.9062,0.4352,-0.2364,-0.5242,-0.6848,-0.558,-0.336
-0.1198,0.6792,-0.2015,-1.1098,4.386,2.1419,0.109,-0.6173,-2.1202,-1.1321,-0.2105,-0.0208,-1.3814,0.329,0.5605,0.5192,-0.3556
-0.9116,1.0598,-0.1781,1.0304,-0.6516,-0.3771,-0.0435,-0.5037,0.4656,0.5785,-0.64,-0.7122,0.7847,1.8679,-0.0877,1.7171,-0.0825
-1.0704,-0.3503,-0.2002,0.6493,-0.4509,0.3069,0.1821,3.2328,1.7892,-0.1764,-1.0452,1.2985,0.687,-0.6127,-0.8218,-0.5622,-0.272
-0.6521,-0.3173,0.3572,-0.396,-0.1411,-0.5615,-0.3337,-0.4379,0.4405,0.2131,-0.5399,-0.4536,0.0102,-0.698,-0.5094,0.3148,-0.2498
-0.6183,-0.1894,-0.1937,1.267,-0.1298,-0.6965,0.5128,-0.4518,-1.4951,1.5251,-0.2033,-0.4839,-0.2002,-0.2837,-0.9405,0.4076,-0.2628
-0.7239,-1.1424,0.0478,-0.3086,-0.0762,0.2823,-0.2456,-0.6047,-1.0394,1.1561,-0.6563,0.0224,-0.8511,0.4802,-0.4783,1.0412,-0.073
0.3332,-1.4312,0.3567,-1.137,8.7923,3.6302,2.6491,2.3801,1.5414,-0.9307,1.6885,1.5395,-1.2552,-0.4033,0.9295,-1.7555,-0.1196
0.5686,-0.4906,-0.1968,-1.1156,1.2179,1.1498,0.6308,-0.6317,-1.4692,-1.3706,-0.3684,-0.6119,-1.2687,-0.2208,1.4516,3.5548,-0.0777
0.0749,-0.6707,1.2347,-0.6478,-0.3898,0.2393,0.5435,-0.392,-1.6935,-0.0891,-0.0594,0.1873,0.4467,0.324,0.2012,-0.4611,-0.066
0.2842,-0.7744,-0.1993,-0.3769,-0.2729,0.9701,0.9134,-0.4172,0.211,-0.1685,0.2853,1.7327,-0.2649,1.3381,0.0913,-0.5654,-0.1874
-0.4834,0.5555,-0.2011,0.7063,-0.6514,-0.4191,-1.0044,1.8939,0.4346,0.3105,-0.8933,-0.2063,-0.3269,-0.7063,-1.0454,-0.2705,-0.2765
-0.3836,-1.0552,-0.2017,-1.1716,-0.633,0.2313,1.7033,-0.4037,-0.6611,-0.6509,0.8635,1.9508,-0.2345,-0.3098,-0.3873,0.1898,-0.1996
-0.6835,-0.4876,-0.2029,0.7824,-0.576,-0.4399,-0.1234,-0.5257,-0.3689,-1.0683,0.4148,0.138,0.4178,-0.6259,-0.9696,1.1815,-0.2068
1.5258,0.8589,-0.2001,-1.3839,0.0233,3.4685,-0.2888,-0.4584,-0.6584,-1.9216,-0.1209,1.0347,-1.2548,0.0058,0.3747,-0.1667,1.3584
1.8632,-0.6674,-0.1785,-0.6721,1.5544,1.1001,2.5692,-0.0291,1.857,-1.1269,2.8337,2.4673,-0.6544,-0.3443,0.6294,-1.8943,1.7005
1.2673,-1.173,0.0459,-0.8295,1.3782,0.9479,3.4939,-0.4419,0.1635,-1.0239,2.9466,1.6522,-0.8273,-0.3988,-0.1284,-1.7826,0.6722
0.4362,-1.8335,-0.2029,-1.1694,0.2125,0.1395,-1.3817,-0.0159,2.648,-1.3555,-1.1374,-0.2736,-1.2438,-0.848,2.0949,-1.3814,8.3897
0.8404,-1.1493,10.9689,-1.4275,-0.6634,0.0619,0.833,0.1616,0.6885,-1.65,0.0961,2.1184,-0.4837,5.6209,6.4706,-0.7554,8.5303
-0.1317,-1.8566,-0.2011,-1.3779,0.4667,-0.119,0.6112,0.0339,1.4326,-2.1533,-0.8116,-0.4691,-0.3432,-0.6253,0.3823,-2.2429,4.4224
0.7793,-0.2319,-0.2012,0.3099,-0.4655,-0.1893,-0.8437,0.1953,0.3149,-0.351,-0.5696,0.252,1.0537,-0.7621,-0.5432,-0.1051,-0.2931
-0.8446,-0.7739,5.061,-0.5144,4.8541,-0.5646,0.5326,-0.5054,4.5457,-1.0931,-0.7446,-0.3468,-0.6306,-0.867,0.2457,-1.675,0.2083
-0.5447,-0.8044,-0.185,-0.1698,0.1793,0.3859,0.1251,0.9745,-0.2366,0.0409,-0.5187,-0.6866,-0.1615,0.9171,-0.2283,-0.9473,-0.1038
0.4073,1.2416,0.0072,0.7785,-0.5823,-1.0015,0.0985,-0.5012,-0.2991,0.2211,2.1516,-0.2389,0.6992,-0.7402,-0.1033,0.023,-0.2866
1.1526,1.3056,-0.202,-0.0857,-0.626,0.1527,-1.2578,-0.4713,0.0249,-0.4286,-0.1779,1.9652,0.3479,-0.6747,-0.0191,-0.8247,-0.0321
-0.0629,-1.2156,-0.2008,-0.6848,0.1582,0.1382,-0.1296,-0.5138,-0.1596,-0.0165,1.0312,0.8864,-0.4457,0.2395,0.3093,0.7798,-0.1551
0.2175,2.0617,-0.1686,-0.421,-0.2775,-0.5668,0.1022,-0.38,-0.1769,0.6081,-0.9928,0.1536,2.7402,0.4379,-0.348,1.5478,-0.0209
-1.3578,-0.2836,-0.1747,1.0638,-0.2547,-0.6491,-1.4257,-0.4242,-0.2705,0.1331,-1.0844,-0.8568,0.5587,-0.2827,-0.958,-0.4175,-0.3304
-0.6631,2.286,-0.1912,-1.317,1.7604,0.9027,-0.4361,-0.0954,-0.8413,1.5354,0.3237,0.2817,-0.7054,0.6267,0.4578,-0.7653,-0.0506
-0.4335,0.0389,-0.201,-0.1458,-0.3008,-0.8534,-0.6568,0.1465,-0.3592,0.9913,-0.9331,-1.3579,-0.2175,0.5427,-1.157,-0.5735,-0.1149
-0.7815,-0.4774,-0.2007,0.0989,-0.189,-0.7527,-1.0149,-0.1887,-0.1692,0.0578,-0.698,-1.2082,0.1357,0.4696,-0.6482,-0.3062,-0.072
-0.8088,-0.074,-0.2033,1.228,-0.2848,-0.8427,0.3108,-0.5732,-0.3269,4.4339,0.0199,0.509,0.5393,-0.6088,0.5501,0.3885,-0.1753
0.1941,0.2303,-0.2043,-0.6581,-0.0515,-0.0806,-0.4074,-0.4781,-0.0796,0.5636,0.4301,-0.0975,-0.5135,-0.5598,-0.9623,0.3042,-0.2262
-0.8174,0.0318,-0.1992,0.4466,-0.4653,-0.4007,-0.3503,-0.4237,-0.2746,-0.1887,-1.0352,-1.4604,0.0449,-0.4347,-1.2764,-0.0636,-0.3072
-0.2111,1.266,-0.202,0.1166,-0.3148,-0.0647,-0.5159,-0.4464,0.5341,0.5743,-0.867,0.1468,0.4352,-0.5409,-0.7829,0.2081,-0.1741
0.5572,-0.8841,-0.2011,-0.7617,-0.2906,0.5373,0.8217,-0.1777,0.1508,-0.5458,0.4462,0.4388,-0.4185,1.1816,0.5507,-0.387,-0.3361
0.3253,-0.7955,-0.2031,-0.5372,-0.7333,0.6339,4e-04,-0.3411,-0.6736,0.1586,0.1135,1.1315,-0.1686,0.981,0.3813,-1.3463,-0.1211
0.9348,-0.9748,-0.2003,1.0726,-0.7333,-0.4571,0.8554,-0.5292,2.0204,0.5409,-0.8647,1.4627,0.4849,-0.9124,-0.0208,-1.2526,-0.065
0.5882,0.5283,-0.2006,-0.9151,0.0086,-0.2544,1.1178,-0.6228,0.1271,-1.0221,-0.5057,-1.1235,-0.9065,0.3691,-0.5565,2.0787,-0.2719
2.3976,0.3451,-0.1728,-0.5064,0.0276,-0.0258,0.3328,-0.5332,-0.7323,-0.7762,1.0429,1.4138,-0.1564,0.2897,2.0283,-0.4177,0.0092
-0.7413,-0.2361,-0.1852,-0.3495,-0.3627,-0.4556,-0.1704,0.469,-0.6788,-0.3349,-0.6625,-0.2838,2.9819,-0.6558,-0.5887,0.629,-0.0538
0.8448,-0.8679,3.2083,-0.5021,0.6798,-0.0425,-1.162,-0.6415,1.1254,-1.5723,-0.2429,1.0033,-0.642,-1.1406,0.8065,-0.2682,-0.2943
-0.3814,1.8743,-0.1931,0.5234,-0.3687,-1.1015,0.1819,-0.5864,-0.4595,0.9474,1.2225,-0.8031,-0.3968,-0.9345,-0.1188,0.1321,-0.2907
-0.0743,-0.9781,-0.2006,-1.0558,-0.4531,0.7713,1.1608,-0.3494,-0.6907,-0.0038,1.7337,0.673,-0.5724,0.1817,0.1969,-0.6107,-0.2064
1.2947,0.4668,-0.0563,0.0594,-0.2756,-0.9027,0.2278,-0.2603,-0.6971,2.0626,0.5596,-1.2686,0.2369,0.7868,0.9373,0.4495,-0.2612
1.1448,-1.007,-0.1314,-0.7771,0.6975,0.6522,1.8848,-0.5818,-1.2338,-0.6394,1.4522,1.5151,-0.8005,1.679,0.3221,-0.9294,-0.0574
0.3902,0.1347,-0.1979,1.1983,-0.5862,-0.6778,0.0406,0.8744,-1.138,0.3107,0.7682,-0.6351,0.3157,-0.6495,-0.0488,-0.7999,-0.1731
1.8176,2.1677,-0.1552,0.8597,-0.613,-0.2924,1.1235,-0.596,0.8413,-1.2037,1.4618,0.9601,0.2766,-0.0219,4.3736,0.1574,-0.311
0.4682,0.3948,-0.2021,0.345,-0.5303,0.4019,-0.5589,-0.4863,2.668,-0.0068,-0.2023,0.7915,-0.5907,-0.3466,-0.1323,-0.6567,-0.2937
-0.4433,1.7146,-0.1931,0.5764,-0.3552,-0.2072,0.1732,3.4282,1.9417,-0.3724,-1.2971,0.6031,0.3965,-0.9449,0.1338,1.2376,-0.3614
-2.2882,0.019,-0.1333,-0.8561,-0.1231,0.7978,-0.86,-0.6413,0.7646,0.7882,-0.9922,-0.8404,-0.13,0.2015,-0.3678,1.0212,-0.0919
-0.534,1.5301,-0.1976,0.1791,0.0298,0.2939,0.0416,-0.4857,0.337,0.6165,-0.4048,9e-04,-0.5954,2.8189,-0.5849,1.2986,-0.2249
-0.419,1.0185,-0.2014,3.2156,-0.6496,-0.9517,-1.8729,2.9203,-0.0511,0.3309,0.034,-0.0153,0.1357,-0.8622,-0.1866,-0.248,-0.3267
0.8674,-0.8283,0.0348,0.1097,-0.2583,0.182,-0.1712,0.1432,-0.6796,-0.6426,0.6119,1.1012,-0.2641,0.369,-0.1275,-0.8969,-0.0549
0.5213,-0.4481,-0.1865,-0.4212,-0.186,0.1361,0.4083,-0.5731,-0.3786,0.1397,1.6776,0.8306,-0.6122,-0.0555,1.5593,0.4112,-0.0593
-0.0614,0.3203,-0.1981,3.3761,-0.2587,-0.7016,0.3777,-0.5626,0.4413,-0.1021,-0.5442,-0.3475,0.0783,-0.7344,0.4016,-0.716,-0.2559
-1.1708,-0.5559,-0.2024,0.1833,0.2492,-0.7051,0.4117,1.2609,-1.3167,-0.4004,0.8784,-0.0552,-0.0361,0.083,0.8361,-0.7876,-0.0083
0.3099,-0.9788,-0.1822,-0.1737,0.2057,-0.199,-0.0587,-0.496,-0.9859,0.4081,0.0638,0.358,-0.5242,-0.0242,0.03,-0.4149,-0.09
1.2131,-1.1919,-0.1447,0.417,0.3543,-0.4547,0.0224,-0.5791,-1.4191,4.2447,0.2855,0.2795,0.3682,-0.9749,0.7532,-0.6784,0.0592
1.1962,-1.4586,-0.1928,-0.9532,1.7704,1.1851,0.9713,-0.6376,-1.2626,-1.4211,0.0987,0.4549,-0.8601,0.9889,-0.4781,1.1149,-0.188
2.4492,0.8468,-0.2034,-1.3847,0.5119,7.9552,0.956,-0.6404,-1.1985,-2.4976,-1.553,-1.0991,-1.203,0.6536,2.0979,5.8938,1.5675
0.2742,-1.2925,-0.1978,-0.6116,-0.1421,0.5932,-0.172,0.7122,-1.1349,-0.5425,0.692,0.6895,-0.4632,-0.5246,-0.2804,-0.8248,0.0466
-0.2776,-0.2168,-0.1947,-0.1719,-0.5577,-0.2639,-0.3585,-0.6075,0.1435,0.8966,-0.3115,0.022,-0.8872,-0.6146,-1.1675,1.7568,-0.0583
-0.1941,0.1608,3.049,-0.1621,2.028,-1.0057,0.8265,-0.6315,0.8413,-0.2967,0.2172,-1.6871,0.1217,-1.1696,-1.6228,1.1447,-0.3221
-1.466,1.1349,-0.1956,-0.5403,-0.1516,-0.5794,-1.083,-0.2402,0.0154,-0.1313,-1.2804,-1.9066,-0.1101,-0.502,-1.341,-0.2503,-0.2219
-1.5775,-0.2294,-0.1973,2.424,-0.3309,-0.8709,-1.0817,-0.5518,1.2244,-0.3931,-1.1038,-1.4863,1.432,-0.9914,-1.045,0.276,-0.2532
-0.7433,0.2879,-0.2007,0.2471,2.1321,-0.7598,-0.9245,-0.3321,0.3509,-0.4428,-0.6972,-1.3924,-0.2692,-0.5959,-0.1881,-0.2855,-0.053
-1.6574,1.0853,-0.1955,1.5517,-0.3853,-0.9368,-2.1181,-0.3143,-0.256,2.3209,-1.5078,-1.8062,0.2129,-0.8979,-1.042,-0.4433,-0.0063
-0.6585,-0.6103,-0.1999,-0.6912,0.0072,0.1126,-0.4623,-0.2376,0.1938,0.5683,0.0296,0.0215,-0.3207,1.6195,0.6608,-1.2029,-0.1929
-0.1354,0.5691,1.2034,0.2385,-0.024,-0.4232,-0.9914,-0.074,-0.6035,-0.6763,-0.3687,-0.0593,1.126,-0.0372,-0.1522,-0.4705,-0.061
-1.6352,-0.3384,-0.1058,0.4514,-0.2871,-0.6989,-1.148,0.1019,-0.5554,1.6458,-1.2434,-1.4814,-0.3705,-0.5951,-1.2984,1.5974,-0.093
-0.3582,0.1852,-0.1954,5.1028,-0.7333,-1.1081,-0.9247,-0.2618,-0.4613,0.0088,-0.8533,-0.8356,1.7683,-0.3123,-0.8713,-0.1251,-0.2404
0.2839,0.1383,-0.2007,-0.9538,1.8427,0.4812,-0.052,-0.0914,0.7535,-1.0817,-0.5791,-0.0554,-0.0845,-0.2175,-0.2677,1.6539,-0.1692
